Claim번호,원문해시,개선전실패단계,개선전사유,지표,단위,주기,지역,대상집단,대표원인,보조원인JSON,적용규칙군,판정근거코드JSON,후보수,HardGuard통과후보수
A01324_6,34295f690dfe7b87b0c910c6c6d7d23df04365644fb0caceea71192b4c1ca996,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,원,년,전국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",37,2
A01386_5,bad8de9925e03b0348cc1dc18fe2e5f4351e4e52943c0f7cc990566deebb1785,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,분기,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,3
A01464_3,6777eddb5f48b1b10fcb5debd63c8a79f54b89ad5deaad334e8fc369bd6498b2,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,총인구,건,월,,,CLAIM_STRUCTURE_ERROR,"[""FREQUENCY_CONFLICT""]",SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",2,0
A01480_17,d0b756844b783fb6ec87a570c8aaffc84bd1276c674a3f45f49d3d06b8ccf913,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,순수출 성장 기여도,%p,분기,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",6,4
A01539_16,a414c90b8303c2561cd8034acea487bee3733624f5c35c7a4de801aa88481084,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,달러,년,,,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",1,0
A01641_18,afbb178b2fc8e245e024deb677e73f903003b836a9a553a0da12a324ecebb839,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,원,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",37,2
A01693_1,bcf08512aa3e1f1e36a5a5623001cc1f1ddd02044dd875c2398591a20b2d4d4f,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,분기,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,3
A01708_16,8d3fee7f2da65e88b2b6e3d380c76315890b040aed7cf7e4d6a8c20ce92b3ac3,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,무역수지,달러,월,,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",20,0
A01723_2,5e220689f47f5c272e6ae74e9b3efba0c8d2b9db109dbc4efe976416f99bfd64,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,12
A01762_4,948d7de3f35d31c733084b049ca3b60695eeeb822e37514cb3b2d62f94533c4c,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,1인당 GDP,원,년,전국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",21,5
A01798_35,00ac90a93ae9cdddb29a483ac687c0e201183b63eedba682e30a511c4cdf66e9,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,오징어 수출량,톤,누계,전국,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",17,0
A01894_4,89c57b8174a50f0bb194e8bf80b9bfaf6caa0adace6445fbfbbd1a969b47cc51,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,총인구,명,년,전국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",2,2
A01953_8,9d9942a18cbb3dc16e5a0ed2ae8bc4e467c1cd78ceb3832b724dc873ed4591d2,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,달러,년,전국,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",1,0
A02022_15,206a098e7469b4e5f79eff668546912c3782b672a44d23e45fdfe3fb87ab3869,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,12
A02179_7,fec0c86fffde903730d9f2540a1bb8079f56ccb6e631781de0dac34f15dfa5b3,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",39,3
A02253_15,aa9b40c73ed53b07147e7632aec376df568d4c757fc68d894e5fcc9b32edfa2e,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,경제성장률,%,분기,아일랜드,,REGION_COORDINATE_GAP,"[""REGION_GRANULARITY_CONFLICT""]",OFFICIAL_REGION_ALIAS,"[""REGION_GRANULARITY_CONFLICT""]",36,0
A02385_22,a3b48a515a20c2d33e7e6680b33e345b3fa5bfaac952fac379899755feab7d45,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,물가상승률,원,월,,,CLAIM_STRUCTURE_ERROR,[],SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",64,1
A02385_32,c8b13553e28cce723b80e06267e81e86eec75ccfbd2d69c0a336c1c46c4418ad,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,물가상승률,%,월,,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE"", ""UNIT_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",46,0
A02395_19,172847717590a51bb4b56d6911dcf71adb4fc8fe003558ca5a80a9ad284c0a6e,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,총인구,명,년,,,PERIOD_FREQUENCY_GAP,"[""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",2,0
A02631_3,ef32b49890163337eee4916bac453455c6cd9105da7d331687c6d25faa482c2d,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,소비자물가지수,개,년,,,CLAIM_STRUCTURE_ERROR,"[""UNIT_CONFLICT""]",SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",36,0
A02656_28,903a62af13798475f3cbcc2de6eff0d494c5e1096d666c01c962a0a63b758bf4,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,1인 가구 수,원,년,,1인 가구,CLAIM_STRUCTURE_ERROR,[],SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",23,1
A02700_19,68cdf52a7a0e83da184e07e5b3f2b1f160abb16300adf05b49b91e7279e3789f,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,인구주택총조사 최종 응답률,%,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",1,1
claim_0236b22fed29bb35,722ed5518fa28d93eda979053590061819d5a981d7029cc41af1312ab6103679,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,억 달러,년,,자동차 수출,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""UNIT_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",1,0
claim_08456a7c943ec326,ad9d2b04197a9b16c3618ca08137a5c9a1fb3390c4f23713a13a704828998e33,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,년,전국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,9
claim_0d6482ba1fa9a6ab,6e0f3faf158a2e2cb9910fb11880acf99dfb0da093a21817c5de0344c6032bf4,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,출생아 수,명,년,,1992년생,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",23,0
claim_155c3f8814001494,6a4946867755ab1311fe19c1e10084e3b4d1e7e73f426727be05cf275b41de7a,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수출액,USD,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",1,1
claim_1aa98594f46770a7,a76506be5fe32af654243716bea2a5d7b1b37c5089a51ec97b07c1758f34bb27,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출,억달러,월,,,METADATA_GAP,"[""METADATA_INCOMPLETE"", ""UNIT_CONFLICT""]",OFFICIAL_METADATA_REFRESH,"[""METADATA_INCOMPLETE""]",36,0
claim_22d76b35abe5866e,fa5d96d62f0357f1ec0f527efa7eaaa086e55b8f9f340500f8c0c82a97a4af0a,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,달러,월,,,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",1,0
claim_297f5d4a6be813a9,977a1b6bb94f709a6657ab74e654c3c7b4e1561da9c058bd5522ab7741356610,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,자동차 부품 수출액,달러,년,전체,,REGION_COORDINATE_GAP,"[""METADATA_INCOMPLETE"", ""REGION_GRANULARITY_CONFLICT""]",OFFICIAL_REGION_ALIAS,"[""REGION_GRANULARITY_CONFLICT""]",45,0
claim_2d1e921e3ec4a6fc,177ee743c2180b6f9166a529d01a4eedc2e0610389f47a2e0e9145fe723020db,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,비경제활동인구 중 활동 상태가 ‘쉬었음’인 인구,명,월,,비경제활동인구,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",1,0
claim_3375a461ad29e545,34a488e4f873ad3c2b3209d5b7bfc464d79de953903adbbdcf302879a5156bbd,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,취업자 수,명,월,국내,취업자,REGION_COORDINATE_GAP,"[""REGION_GRANULARITY_CONFLICT""]",OFFICIAL_REGION_ALIAS,"[""REGION_GRANULARITY_CONFLICT""]",92,0
claim_33a229c35a60058a,9106862a2472e76c82a7d9ffbc26e284ff5e61f6034e87b5c6c6d30f1e5369fd,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,우리나라 성장률,%,분기,대한민국,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""UNIT_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",16,0
claim_3548667ef4067f27,1a513e161ebf1f62aef5428b1b096a85d9f0acd78487cfd62b7f8b384bda45ed,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,일반 정부 부채,조원,년,,일반 정부,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",20,0
claim_4e7f395f77940f8f,2bde842fc3399a041a7ed85dcc796ec03318200045f7e487e1a737310042ca78,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,생활물가와 소비자물가의 차이,%포인트,1~5월,,,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",3,0
claim_57da797b1c0ab29f,86fb38944a48dd63702bfc3bd6dbe42e05206a07681bedcad4ca69be147d6365,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,1인당 GDP,달러,년,한국,1인당,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",21,18
claim_5f13c1222537880e,0f933384331d804f8e0b1ebfa9789e70166b87b30b96e4076493f34e5a1586b4,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,상호출자제한기업집단 지정 기업집단 수,곳,년,대한민국,기업집단,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""UNIT_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",1,0
claim_5f58fe9138cdce63,0c8eebe0655a527489ccb780d6af9bcf7f628b868ad3bcc84ae14a12a69c4839,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,취업자,명,반기,대한민국,비거주복지시설운영업 취업자,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",120,0
claim_68783c5d74281af2,9a1514ad889c4e057f24b707f1990b449c0e94da7ec8a5c52cad3415e7b36b4c,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,상용근로자 수,명,년,,1964년생 상용근로자,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",40,0
claim_68f111412bb9df44,18599e0e2ce81660246261aa1f2c08056e787594f65d1f03cdedec894a9e25eb,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출량,톤,1~4월 누계,,,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""FREQUENCY_CONFLICT"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",26,0
claim_696fd653e7921dfb,66d88340b7d680e509a14a43aefbf793930de45d90ae595b969f7d3c6f6d904e,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,예산,억원,년,,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",22,0
claim_6b36a4392062740e,5bdb28e79b9209f938d42fc28a1817477bfcdf8513eafe72734018530432e815,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입 승용차 판매량,대,년,한국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",17,1
claim_70931b90f2bda6d9,fd0d84154497d5822f8ab830d0bd917240999fda86c76b14f7ad6b1158289567,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,성장률,%,분기,,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",30,0
claim_7555330ed60c895a,f16fc4bc3d60e03b2436b35a50a5b22c2936af67f585a596c17939dee0a159f9,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,근로자 수,명,월,대한민국,근로자,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",42,4
claim_7e26ca8b021dc775,0e928713e3ba1ee2526a4f049bdb105f697934cbe6005cf3657c7fab116d5ee7,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,실업률,%,년,한국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",41,1
claim_7e7c3ca7eabeece5,c3f86f56501ec291801d5f8be1961fc5101fb4d42fc00d537d2295f5eb38c51a,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,소비자물가 상승률,%,월,대한민국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",51,5
claim_8553de442b750f6e,0a111ebc77f24b690235c4e484937b8063666f4e9cde5bc0b62891c9988c4462,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,소비자물가,%,월,,,SEMANTIC_COORDINATE_AMBIGUITY,"[""UNIT_CONFLICT""]",NO_AUTOMATIC_UNIT_CONVERSION,"[""UNIT_CONFLICT""]",22,0
claim_863eebfa6f331bc6,eb22c9701b0602e73e38451fb5aec351b7b7d75f624f6b1238c225d5ce4bd077,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수입액,대,년,전국,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""UNIT_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",1,0
claim_86c3569ecb965994,ed64f3f5f3d22b451af2e7f91063f0f5b7cac0f4710e07b35950192b7fffc995,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,잠재성장률,%,decade,대한민국,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",20,0
claim_876392cfe0983300,62fe1754cc9985f14f3b6cb042230227120543815a2867a9d53a8366e1eadfad,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,성장률 기여도,%포인트,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,2
claim_8aa30da67bf9f7e7,e1e0a719e2ab3c3a2b0546500dd588a76d912d8cbdbad445fd9074afbb47343a,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,실업률,%,월,,청년,DIMENSION_COORDINATE_GAP,"[""POPULATION_DIMENSION_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""POPULATION_DIMENSION_CONFLICT""]",1,0
claim_8cae8d34eacd941c,6fb952f9863d6475c50cc45f10f5ef39bc5daa890ddc27b38c6df848d54edc1c,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,만달러,반기,대한민국,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT"", ""UNIT_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",1,0
claim_98c3281f01004e9b,3c68e8a5e13be0d39c1f4e86a17816f464e2b3cd72c9f6387623e93140d2b653,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,월평균 연금 소득,만원,월,,65세 이상 연금 소득자,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",38,2
claim_9e3fa367e9e40c46,67c1df4712e239d231b661e93ad1b084f196e427fbf2229e75c95aac09a646c2,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,물가상승률,원,년,전국,,CLAIM_STRUCTURE_ERROR,[],SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",44,13
claim_a39c95dc02922b4e,1784f2b8437be411cd430e12c499a70177d2a59f0f2b9179e447567726e6c778,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,취업자 수,명,월,대한민국,취업자,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",60,0
claim_a3d2eacdeae596da,9f784e49db5da742a7f2d7eb4a3a04dff728ab532e6575f210fb88a8dff6fb37,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,농가 수,가구,년,전국,농가,PERIOD_FREQUENCY_GAP,"[""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",29,0
claim_ac272991918f1c8e,efd870c2ddb57ed61c6f43010a134479b63c83eb390dea48b6cfe5af433611f7,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,농가 수,가구,년,국내,농가,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",30,6
claim_accf2f7d9058e976,c33c4650d3a6784db206556b187dc9d06bdb55affb8182edc6ba4a7d50562d4a,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,가공식품 가격,%,월,대한민국,,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE"", ""TIME_NOT_AVAILABLE"", ""UNIT_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",22,0
claim_b0c618819d2bd081,2bdf7e055e7005600e2db1728da03384213846623f2c627e706c826efeffafa7,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,기술 수출액,억달러,누계,국내,,REGION_COORDINATE_GAP,"[""METADATA_INCOMPLETE"", ""REGION_GRANULARITY_CONFLICT""]",OFFICIAL_REGION_ALIAS,"[""REGION_GRANULARITY_CONFLICT""]",52,0
claim_b256cf2d4da2d9f2,39396c5b1ca49cfc27f88cf4809408d755068d486c5f6e4b2814b5dfde00df99,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수입차 판매 대수,대,년,한국,수입차,PERIOD_FREQUENCY_GAP,"[""METADATA_INCOMPLETE"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",20,0
