부모Claim번호,최초상태,최초사유,재시도여부,재시도상태,재시도사유,최종상태,최종사유,발견수치수,생성자식수,진단번호JSON,원문SHA256,실행서명
A01555_14,PASS,,N,,,PASS,,2,2,[],2FD440824F2C924DEDC6C04401ECB9B83C1B3B2878730B0E8844A1559AED83FC,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01584_3,PASS,,N,,,PASS,,2,1,[],D792E2CEA37ACAAEB52B3A00E2152E09C9B6B592B659457AE34F6B4F9B47E969,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01589_4,PASS,,N,,,PASS,,2,1,[],D792E2CEA37ACAAEB52B3A00E2152E09C9B6B592B659457AE34F6B4F9B47E969,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01641_17,PASS,,N,,,PASS,,3,1,[],A330FB46FD8B905F46973829D7C788A871F89885E6C52C121B94900824509CEA,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01709_31,PASS,,N,,,PASS,,2,1,[],1A513E161EBF1F62AEF5428B1B096A85D9F0ACD78487CFD62B7F8B384BDA45ED,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01720_37,PASS,,N,,,PASS,,2,1,[],3E804A4DF21B0AF507F852C6A6C46FF2CB6F640E687FF05B949A56D3A3E0B231,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01737_11,PASS,,N,,,PASS,,3,1,[],53F6C5D02CCCFA17842A1066A7D2A60284B3B4F41013E4B9A09131E8DDCCD5A7,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01737_5,PASS,,N,,,PASS,,2,1,[],45BBBDA34EDDEBA5BEF9CB8E9784FA0D6F2E618F4F4958C303028DFEA206C627,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01752_4,PASS,,N,,,PASS,,2,1,[],329049D674F951EF537CAA6D9BEA4E886914EADB3A408253587C98FC2B7C34BF,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01927_11,PASS,,N,,,PASS,,2,1,[],4FCBE83303BA505C08E4BC376EB443F6E2D66F7D85FBE18D800C36DAD1887B7D,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01927_23,PASS,,N,,,PASS,,3,2,[],205CB79C7A825154BEBF50E3CBE6BEF29B3DA3ADDB48398FF5A0E42015F24383,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01935_13,PASS,,N,,,PASS,,2,2,[],62FE1754CC9985F14F3B6CB042230227120543815A2867A9D53A8366E1EADFAD,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01953_25,PASS,,N,,,PASS,,2,1,[],05D4B68528D658C4E4F945853F7B7C9079FC6DF51E4986DB3FA4E8742BCB2634,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02010_4,PASS,,N,,,PASS,,2,1,[],C4B15A74443039E1BC64F1EA19F9FA091C4B1E4C3A5662F83829121621A08D06,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02028_21,HUMAN_REVIEW,GROUPING_AMBIGUOUS,N,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,2,1,[],57A8B97DD84A78A2E62DD265D0F891FF8382A4DFFCC244897BC18EEE99A13502,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02065_4,PASS,,N,,,PASS,,2,2,[],72DB2FCB59BBF91F9D77F34AAF9DF929098535C73B78B0B48D63B9470DA130C8,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02096_18,PASS,,N,,,PASS,,2,1,[],D5744B9B1BDF1330C317E6B9FE9759CB3E4EC2EB5D784AE2574DA8D7944D8A45,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02096_19,PASS,,N,,,PASS,,2,1,[],E7BA24EAC18876623A2B6AE415CD2C01DC1B745C0DDC11D37E9038722384F6D1,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02096_3,PASS,,N,,,PASS,,2,1,[],6F3F886B055569FDC82F81C716E88CBFE5DEB82475ACB75BF9589115BFDBDB3B,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02099_4,PASS,,N,,,PASS,,2,1,[],33D02037BD24E3CA93767260B20357DA1ED5DA35BA999C635C83E036D6A625DC,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02111_13,HUMAN_REVIEW,CONTEXT_TARGET_UNRESOLVED,N,,,HUMAN_REVIEW,CONTEXT_TARGET_UNRESOLVED,2,1,[],521BFE719694EF7B88C2812D931C21A1718A5821E90E033745F4E4FF65E314F1,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02111_4,PASS,,N,,,PASS,,2,1,[],C5E7C71C89D2BE78754F257C39522BA3E4C36859AFE41195231A378821706CA1,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02181_14,PASS,,N,,,PASS,,2,1,[],EB1A602F368AE2A19EB2D7922433F5848AA784EEBD204E688208A62953F7C7E8,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02184_12,PASS,,N,,,PASS,,2,2,[],1FAB150AE67242D8E1EBFCC2C851D74DB8C569009C82EC52367AE03A62D77A49,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02184_8,PASS,,N,,,PASS,,3,1,[],EFB38ECAF7FE32768C42D42CFCB87663D0044F2274EA9ED4F0DA89810DA40FE5,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02350_6,PASS,,N,,,PASS,,2,1,[],A2EDE7B3CFEA651ED02B04F592043664C40B16A2A3EF5AA6F66B397DAB412A5A,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02366_7,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,PASS,,PASS,,2,1,[],169812B5D968E9AB62BC4F013C0A5C7F39F95039C21ED0A6F20830FD3F1DFDD3,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A02375_3,PASS,,N,,,PASS,,2,1,[],AD0EF7B820D9D275ECA70F25A7287629C65449C25E8D5EE0D45BE3DB27431532,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02385_19,PASS,,N,,,PASS,,2,1,[],F1FD5AE831389BDB1816B60DC05C980C2F97F3A79D43284FE5DA0EF2C85A6E73,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02385_25,PASS,,N,,,PASS,,7,5,[],C33C4650D3A6784DB206556B187DC9D06BDB55AFFB8182EDC6BA4A7D50562D4A,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02421_1,PASS,,N,,,PASS,,2,1,[],6FB952F9863D6475C50CC45F10F5EF39BC5DAA890DDC27B38C6DF848D54EDC1C,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02421_4,PASS,,N,,,PASS,,2,1,[],DCB68991A0E68A17734D18787D03F6516B1CF5AC8EFF30D7B039327D70E24793,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02558_21,PASS,,N,,,PASS,,3,1,[],177EE743C2180B6F9166A529D01A4EEDC2E0610389F47A2E0E9145FE723020DB,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02564_5,PASS,,N,,,PASS,,3,1,[],EC952C889E99F700FB185E1FCF0693B11A76BC0DD4FD429184B917C879253745,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02569_31,PASS,,N,,,PASS,,2,1,[],BF990599F3EE9CB1C0192006017C88D14F750C855506E1F9FA2F925B5FE9CE13,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02569_4,PASS,,N,,,PASS,,2,1,[],DB907F259A6A9095E39A0ADF3E2D733908767AABD22B8A64BA8B7DCBB6787CAE,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02605_13,PASS,,N,,,PASS,,2,2,[],8A4F5FF01F17E820396CF0CF16E55ED076EB1C59A9DD60C8498712FB154BBE10,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02638_7,PASS,,N,,,PASS,,4,1,[],6D6E4929A3481C572B41E3145D8B05343B1D4B116EEDC2FC7D33DE2FE7A6CE10,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02638_9,PASS,,N,,,PASS,,2,1,[],69D11086967183858053C86EB8ECE39B59FC25E74651C5D30BC1D124CE6629B7,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02647_3,PASS,,N,,,PASS,,2,1,[],F16FC4BC3D60E03B2436B35A50A5B22C2936AF67F585A596C17939DEE0A159F9,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02647_8,PASS,,N,,,PASS,,2,1,[],B9C4C5E826B12676036EEC4025904EF43A16B5A554CA0DC283896222F6693959,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02656_1,PASS,,N,,,PASS,,3,3,[],A3BDC7AFE889187766EAA9CA8483855DA0D963A2610B960EA6C86755DE602E45,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02661_3,PASS,,N,,,PASS,,2,1,[],0C8EEBE0655A527489CCB780D6AF9BCF7F628B868AD3BCC84AE14A12A69C4839,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02681_3,PASS,,N,,,PASS,,2,1,[],067B786C3F780EFF119ECC79C1D5D6278B351D5D23D4EDB2AF27751C02FFAFAB,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02682_6,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,PASS,,PASS,,2,2,[],A99E8B1B78AEB1C5FAE5EA479DA880D42AF7152CD6519F5407A6B8A803E2FD2B,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A02682_9,PASS,,N,,,PASS,,2,2,[],6A37A5044C64C297CA9ABBDB5A409B085B340253719E25D9079BD3DD2ED2B1F5,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02701_3,PASS,,N,,,PASS,,3,1,[],9A1514AD889C4E057F24B707F1990B449C0E94DA7EC8A5C52CAD3415E7B36B4C,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02704_4,PASS,,N,,,PASS,,4,1,[],DE7786D490F53E1F56CDEA95E4201EFFA1D89423C7DF548E51912444CFA36CBA,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00041_5,PASS,,N,,,PASS,,3,1,[],059A907A200336B733229A329915C26F4B43AB94022A34C8792B40C8ADE44EB5,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00070_11,PASS,,N,,,PASS,,3,2,[],6A4946867755AB1311FE19C1E10084E3B4D1E7E73F426727BE05CF275B41DE7A,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00308_3,PASS,,N,,,PASS,,5,1,[],F432102E7A60F93093CF61464F340B0CDF03C1115DF91509A29EE4654452E60D,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00353_6,PASS,,N,,,PASS,,4,1,[],57171837F75D2D0DE5F188FA0C2091C0652F22B1C900819AD9AF56F04B639E24,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00622_3,PASS,,N,,,PASS,,2,1,[],866C5B188654C1038C79529DA5FABB7827790440CB0D70CB4DE280157D4F4D19,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00708_7,PASS,,N,,,PASS,,6,1,[],AFA7E686ECFE045B951D457DE4E8A99728904EB37FEE384BD6DC0C954BE40339,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00840_16,PASS,,N,,,PASS,,2,1,[],3FBBD9F3221F56C37CE89CAFF2AD6A9E1BC7D64C0960387F4FBCF3D2B9664B50,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00849_11,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,4,1,"[""f8161c5643c5""]",72E0198DA407DC4A285BE79A91CF5686DAEB2810839E128022F2A656FD12D1F7,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A00922_27,PASS,,N,,,PASS,,2,1,[],B39651D650674135BB8B3711E0454F1BBD411C14B67E03F4655A7B40DC768015,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01103_18,PASS,,N,,,PASS,,3,2,[],2D5D71E393B84C4F56E78D3B0AF6B73B608A623D5859E57649D7AD3CB221668F,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01190_9,PASS,,N,,,PASS,,2,1,[],A043D0779C749EF1524A833FC42EA877E926C1C29D441F849066358ECE6D577A,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01489_17,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,PASS,,PASS,,2,2,[],CF7E1EC2D7D879AA987B31FC75AEF865DECF506813445EDBE03739E678CA8E10,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A01565_13,PASS,,N,,,PASS,,3,2,[],0F933384331D804F8E0B1EBFA9789E70166B87B30B96E4076493F34E5A1586B4,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01737_12,PASS,,N,,,PASS,,4,1,[],8E20BA047610AC524B0A0058719B56B8931665AD88AAA9CCBBAC4F6B2E0CF46E,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01737_4,PASS,,N,,,PASS,,2,1,[],49C999E3EE61BF8AB124A2E295B304C3AF8448009957EE8FBB31D5FA0AC1CECA,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01924_10,PASS,,N,,,PASS,,3,1,[],2DC216E2759A4DDB6FAB87FD85B1A11BC51EAD50FCD948EBCDBFE4642E1969FB,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01924_9,PASS,,N,,,PASS,,2,1,[],4785E10DA04DA2DE8A9433994E9F15D3906EA36A5C5915A2262C2199C0552539,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02096_11,PASS,,N,,,PASS,,2,2,[],4E7CF2C0B5D094ED36674723E86DA5A1C1A4A35E58DF54547B6DD2D7FDBC06E6,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02111_6,PASS,,N,,,PASS,,3,1,[],73C0F076F219D3F09623C72A6433E946127D5CB4652F43A37AC08ED49D6D6911,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02184_11,HUMAN_REVIEW,CLAIM_PARSE_UNAVAILABLE,Y,HUMAN_REVIEW,CLAIM_PARSE_UNAVAILABLE,HUMAN_REVIEW,CLAIM_PARSE_UNAVAILABLE,3,1,"[""6c9e97d530d6""]",04F45E078B36F0410F50901189F549BA8C2FBC8BF3C40E91DDE938B9619E03E0,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A02184_15,PASS,,N,,,PASS,,3,2,[],AD5DE3D64606D19EC1202960472F6F23A86DF182E6D390F567448542C6795609,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02184_9,PASS,,N,,,PASS,,2,1,[],0E928713E3BA1EE2526A4F049BDB105F697934CBE6005CF3657C7FAB116D5EE7,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02203_8,PASS,,N,,,PASS,,2,1,[],E1204B79DA1D0D6F1C8E09D0AEEAD98D57B62ECB23E58981C9CBCB43398960EA,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02388_5,PASS,,N,,,PASS,,2,1,[],085545E1DB51368FFBF9361F55FFF8B1F1C4327C181EA5F7AFE3D03690F14F77,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02558_5,PASS,,N,,,PASS,,2,1,[],8A53ED105CC540988CE10F365F00DF51060497E0694FAAE929321EE9376D400C,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02633_4,PASS,,N,,,PASS,,2,1,[],675601AA906D906BFA198B2C39FE09889BFB110F07DC00A8D1C8DD9AF4774DC6,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A02647_11,PASS,,N,,,PASS,,2,1,[],93EF6A413D4EC5EDB4B5447EBDC785EA2526655D895C804E9DDE639C49F607AA,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00185_3,PASS,,N,,,PASS,,2,1,[],5BDB28E79B9209F938D42FC28A1817477BFCDF8513EAFE72734018530432E815,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00202_23,PASS,,N,,,PASS,,4,2,[],E1E0A719E2AB3C3A2B0546500DD588A76D912D8CBDBAD445FD9074AFBB47343A,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00308_1,PASS,,N,,,PASS,,5,1,[],6AAC41CC7F5832C1B5857AD22668755B97DD8008C8E05840F3C3A5C236661E89,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
