기사번호,문장번호,부모Claim번호,원문,발견수치,기대역할표,실제역할표,기대자식수,실제자식수,분리판정,자식Claim번호,12개항목상태,재입장결과,중단사유,코드버전,자료버전,실행시각
A02111,6,A02111_6,4월만 해도 690만6000명이었던 60세 이상 취업자는 지난달 704만9000명으로 처음으로 700만명을 넘었다.,"[""690만6000명"", ""704만9000명"", ""700만명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}}","[{""expression"": ""690만6000명"", ""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""700만명"", ""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""704만9000명"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}]",1,1,일치,claim_0b480e92fd76dad9,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A01947,12,A01947_12,"지난달 건설업과 제조업 취업자 수는 1년 전보다 각각 15만명, 12만4000명 급감했다.","[""15만명"", ""12만4000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""15만명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""12만4000명"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}]",2,2,일치,claim_48376d5d82c0f898,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:condition,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A01947,12,A01947_12,"지난달 건설업과 제조업 취업자 수는 1년 전보다 각각 15만명, 12만4000명 급감했다.","[""15만명"", ""12만4000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""15만명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""12만4000명"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}]",2,2,일치,claim_170c66ef2c1168c9,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,CONTEXT_REQUIRED,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02096,11,A02096_11,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.","[""37만명"", ""13만2000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""37만명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""13만2000명"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}]",2,2,일치,claim_51187645801dea7d,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,STRUCTURAL_HOLD,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02096,11,A02096_11,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.","[""37만명"", ""13만2000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""37만명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""13만2000명"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}]",2,2,일치,claim_60c76d3e7237ece9,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00579,13,A00579_13,"지난달 15~29세 청년층 취업자 수는 전년 동월 대비 21만8000명 줄었는데, 고용률 기준으로도 44.8%에 그치며 전년 동월 대비 1.5%포인트 감소했다.","[""21만8000명"", ""44.8%"", ""1.5%포인트""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""21만8000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""1.5%포인트"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""44.8%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,claim_bb368092df810838,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00579,13,A00579_13,"지난달 15~29세 청년층 취업자 수는 전년 동월 대비 21만8000명 줄었는데, 고용률 기준으로도 44.8%에 그치며 전년 동월 대비 1.5%포인트 감소했다.","[""21만8000명"", ""44.8%"", ""1.5%포인트""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""21만8000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""1.5%포인트"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""44.8%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,claim_7a4108c7b1224609,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00588,16,A00588_16,"청년(15~29세)층 취업자는 전년 동월 대비 21만8000명 줄었고, 청년 고용률(44.8%)도 1.5%포인트 감소했다.","[""21만8000명"", ""44.8%"", ""1.5%포인트""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""21만8000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""1.5%포인트"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""44.8%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,claim_f7789dcf0b17574e,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=MISSING | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:calculation,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00588,16,A00588_16,"청년(15~29세)층 취업자는 전년 동월 대비 21만8000명 줄었고, 청년 고용률(44.8%)도 1.5%포인트 감소했다.","[""21만8000명"", ""44.8%"", ""1.5%포인트""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""21만8000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""1.5%포인트"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""44.8%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,claim_bda51dfc0f4c325d,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00621,5,A00621_5,하지만 ‘양질의 일자리’로 꼽히는 제조업 분야 취업자 수는 5만6000명 줄어든 439만6000명으로 집계됐다.,"[""5만6000명"", ""439만6000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""439만6000명"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""5만6000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}]",1,1,일치,claim_7b292cef4a1d724a,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00628,16,A00628_16,10년 전과 비교하면 전체 취업자가 10.3% 늘어나는 동안 임금 근로자는 16.3% 증가했고 자영업자는 5.9% 감소했다.,"[""10.3%"", ""16.3%"", ""5.9%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""10.3%"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""16.3%"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""5.9%"", ""group_id"": ""g3"", ""role"": ""CHANGE_VALUE""}]",3,3,일치,claim_c30a19b73b8b5461,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:time,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
