기사번호,문장번호,부모Claim번호,원문,발견수치,기대역할표,실제역할표,기대자식수,실제자식수,개수판정,역할묶음판정,분리판정,자식Claim번호,12개항목상태,재입장결과,중단사유,코드버전,자료버전,실행시각
A00103,6,A00103_6,"특히 라면(70.3%), 냉동김밥을 포함한 쌀 가공식품(51%) 등의 대미 수출이 크게 늘었다.","[""70.3%"", ""51%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""70.3%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""51%"", ""group_id"": ""g2"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,일치,일치,claim_e6dffbdf272f2269,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,STRUCTURAL_HOLD,"MISSING_REQUIRED_SLOTS:time,comparison",multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00103,6,A00103_6,"특히 라면(70.3%), 냉동김밥을 포함한 쌀 가공식품(51%) 등의 대미 수출이 크게 늘었다.","[""70.3%"", ""51%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""70.3%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""51%"", ""group_id"": ""g2"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,일치,일치,claim_2c9dcbd0a373deae,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:time,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00105,28,A00105_28,"23일 한 외제차 직수입 업체는 네이버 블로그... 1억 넘는 테슬라 '사이버트럭' 단점은?… ""세차"" 10만 달러(약 1억3000만원)에 달하는 테슬라의 고가 전기차 ‘사이버트럭’ 소유자들이 가장 힘든 점은 무엇일까?","[""10만달러"", ""1억3000만원""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""EQUIVALENT_VALUE""}}","[{""expression"": ""10만달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""1억3000만원"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""EQUIVALENT_VALUE""}]",1,1,일치,일치,일치,claim_5d3fdb9f60625ad5,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:time,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00185,3,A00185_3,"15일 한국수입자동차협회(KAIDA)에 따르면, 작년 수입 승용차 판매량은 26만3288대로 2023년 대비 2.9％ 줄었다.","[""26만3288대"", ""2.9％""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""26만3288대"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""2.9％"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""CHANGE_VALUE""}]",1,1,일치,일치,일치,claim_72bc5d19e53bd33f,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00185,6,A00185_6,"당시 수입차 판매량은 1996년 1만315대, 1997년 8136대, 1998년 2075대로 2년 연속 줄었다.","[""1만315대"", ""8136대"", ""2075대""]","{""n1"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""1만315대"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""8136대"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""2075대"", ""group_id"": ""g1"", ""mention_id"": ""n3"", ""role"": ""MAIN_VALUE""}]",1,1,일치,일치,일치,claim_d865b4fa1dcf8ada,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00186,9,A00186_9,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.","[""218만698대"", ""533억6000만달러"", ""78조원"", ""200만대"", ""500억달러""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""EQUIVALENT_VALUE""}, ""n4"": {""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, ""n5"": {""group_id"": ""g2"", ""role"": ""CONTEXT_VALUE""}}","[{""expression"": ""218만698대"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""533억6000만달러"", ""group_id"": ""g2"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""78조원"", ""group_id"": ""g2"", ""mention_id"": ""n3"", ""role"": ""EQUIVALENT_VALUE""}, {""expression"": ""200만대"", ""group_id"": null, ""mention_id"": ""n4"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""500억달러"", ""group_id"": null, ""mention_id"": ""n5"", ""role"": ""CONTEXT_VALUE""}]",2,2,일치,불일치,불일치,claim_f8ee8fb0f4b72433,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,PARTIAL_CHILD_ADMISSION,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00186,9,A00186_9,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.","[""218만698대"", ""533억6000만달러"", ""78조원"", ""200만대"", ""500억달러""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""EQUIVALENT_VALUE""}, ""n4"": {""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, ""n5"": {""group_id"": ""g2"", ""role"": ""CONTEXT_VALUE""}}","[{""expression"": ""218만698대"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""533억6000만달러"", ""group_id"": ""g2"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""78조원"", ""group_id"": ""g2"", ""mention_id"": ""n3"", ""role"": ""EQUIVALENT_VALUE""}, {""expression"": ""200만대"", ""group_id"": null, ""mention_id"": ""n4"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""500억달러"", ""group_id"": null, ""mention_id"": ""n5"", ""role"": ""CONTEXT_VALUE""}]",2,2,일치,불일치,불일치,claim_ccd4c16816d9226b,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,CONTEXT_REQUIRED,PARTIAL_CHILD_ADMISSION,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00189,5,A00189_5,"수입 물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 달 연속 전월에 비해 오르고 있다.","[""2.1%"", ""0.9%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""2.1%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""0.9%"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""CHANGE_VALUE""}]",2,1,불일치,불일치,불일치,claim_e4445d226ceae05b,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00202,7,A00202_7,"건설 경기 부진으로 건설업 취업자 수가 15만7000명 줄었고, 제조업과 도소매업 취업자 수 감소폭도 각각 10만명에 육박했다.","[""15만7000명"", ""10만명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}",[],2,1,불일치,불일치,불일치,A00202_7,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:time,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00268,1,A00268_1,석유제품·철강 업종 부진과 조업(操業) 일수 감소 등 여파로 새해 첫 20일간 수출액이 316억달러로 1년 전에 비해 5% 넘게 줄었다고 관세청이 밝혔다.,"[""316억달러"", ""5%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""316억달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""5%"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""CHANGE_VALUE""}]",1,1,일치,일치,일치,claim_9564c03b7007c224,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00268,3,A00268_3,수입은 1년 전에 비해 1.7% 줄어든 354억원으로 집계돼 38억달러의 무역 적자를 기록했다.,"[""1.7%"", ""354억원"", ""38억달러""]","{""n1"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""1.7%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""354억원"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""38억달러"", ""group_id"": ""g2"", ""mention_id"": ""n3"", ""role"": ""MAIN_VALUE""}]",2,2,일치,일치,일치,claim_3fcb47b933d7e723,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,PARTIAL_CHILD_ADMISSION,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00268,3,A00268_3,수입은 1년 전에 비해 1.7% 줄어든 354억원으로 집계돼 38억달러의 무역 적자를 기록했다.,"[""1.7%"", ""354억원"", ""38억달러""]","{""n1"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""1.7%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""354억원"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""38억달러"", ""group_id"": ""g2"", ""mention_id"": ""n3"", ""role"": ""MAIN_VALUE""}]",2,2,일치,일치,일치,claim_464b0eb5c12b0996,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,CONTEXT_REQUIRED,PARTIAL_CHILD_ADMISSION,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
