parent_claim_id,article_id,article_published_at,article_text,expected_verdicts,derived_claim_count,child_claim_ids,actual_status,actual_verdicts,failure_reason,official_evidence_verified,table_ids,coordinates,official_values,calculated_values,source_urls,response_hashes,acceptance_status,run_id,recorded_at,failure_stage
A02096_11,A02096,2025-06-11,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",MATCH,2,claim_cf6e5e4e86c3b3a3|claim_f98d72597108049e,HOLD,,"60세 이상과 30대라는 두 연령대의 독립적인 수치가 한 문장에 함께 제시되어 단일 목표로 확정할 수 없음|증가한 대상과 기준 시점이 제시되지 않아 지표, 시간, 비교 기준을 특정할 수 없음",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:01:14.724694+00:00,CLAIM_PARSE
A02558_7,A02558,2025-07-16,국제 비교 기준인 15~64세 고용률은 70.3%로 마찬가지로 6월 기준 역대 최대치를 보였다.,MATCH,1,claim_09237646768c8b8a,AUTO,MATCH,,예,DT_1DA7002S,ORG=101|TBL=DT_1DA7002S|ITM=T90|OBJ=G|MEMBER=15 - 64세|PRD_SE=월|PRD_DE=2025-06,70.3,70.3,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T90&prdSe=M&startPrdDe=202506&endPrdDe=202506&objL1=63,851b8974f55a049c0967ff8da7125156fb5d641a6a30c238880327654839cd13,통과,dashboard-acceptance-25-live-20260824,2026-08-24T08:01:20.902795+00:00,
A00202_1,A00202,2025-01-16,건설업과 도소매업을 중심으로 내수 부진이 장기화하면서 지난달 취업자 수가 1년 전에 비해 5만명 넘게 줄었다.,MISMATCH,0,,HOLD,,CLAIM_PARSE_UNAVAILABLE,아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:01:57.056186+00:00,CLAIM_PARSE
A00202_25,A00202,2025-01-16,◇연간 취업자도 ‘반 토막’ 작년 한 해 월평균 취업자 수는 2857만6000명으로 1년 전보다 15만9000명 늘어나는 데 그쳤다.,MISMATCH,1,claim_725e4645a5db2fbb,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:02:02.115544+00:00,EVIDENCE_CELL
A00202_26,A00202,2025-01-16,"증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 여파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고용 성적표를 기록했다.",MISMATCH,2,claim_0e99766fb13eafb3|claim_92d1541275bb6247,HOLD,,"증가폭의 대상 지표와 기준이 되는 목표 시점이 문장에 없어 완전한 수치 주장으로 확정하기 어렵습니다.|현재 시점의 고용 성적표를 수치로 제시하지 않았고, 2020년의 '22만명 가까이'라는 근사값과 '이후 최악'이라는 비교 표현이 함께 있어 단일 수치 주장으로 확정하기 어렵습니다.",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:02:48.596181+00:00,CLAIM_PARSE
A00645_23,A00645,2025-02-19,"뉴질랜드는 지난해 2~3분기 연속 성장률이 마이너스(-)를 기록했고, 4분기 실업률은 5%를 넘는 등 성장이 둔화하고 실업률이 오르고 있기 때문이다.",MISMATCH,2,claim_491bac7eb6295cd1|claim_5122e30a506863f5,HOLD,,"2~3분기에 걸친 연속적인 음의 성장률을 언급하지만 각 분기의 수치가 제시되지 않았고, 단일 목표 시점으로 특정하기 어렵습니다.|MISSING_REQUIRED_SLOTS:value",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:02:59.405871+00:00,CLAIM_PARSE
A01193_11,A01193,2025-04-02,"같은 방식으로 비교했을 때 2023년까지만 해도 외국인과 노인 일자리 참여자 증가 규모는 11만8000명으로, 전체 취업자 증가 폭(32만7000명)보다 적었다.",MISMATCH,2,claim_87ec435a4b6c6f5a|claim_96dc2fce0973c5d0,HOLD,,"문장에 비교 기준인 전체 취업자 증가 폭 32만7000명만 명시되어 있고, 실제로 비교되는 대상의 수치와 대상 시점이 없어 하나의 완결된 수치 주장으로 확정할 수 없음|문장이 '...으로'에서 끝나 증가 규모가 11만8000명이라는 수치만 제시되고 서술이 완결되지 않았으며, 외국인과 노인의 합산인지 각각인지 명확하지 않음",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:03:06.042108+00:00,CLAIM_PARSE
A01193_7,A01193,2025-04-02,"그 결과 작년 외국인 취업자는 8만7000명, 노인 일자리 참여자는 9만2000명 늘어난 것으로 파악됐다.",MISMATCH,2,claim_3c56fdbda3d070aa|claim_62a05e19ac9dedc2,HOLD,MISMATCH,증가한 절대 인원은 제시됐지만 비교 기준 시점과 현재·기준 값이 없어 DIFFERENCE의 필수 비교 정보가 부족함,아니오,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=년|PRD_DE=2024,28575.5,28575500.0,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=0,687e1a786b87c966531840da38f57353ce8b52f6a93ccd64e979aaad12a11876,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:03:12.569279+00:00,CLAIM_PARSE
A01285_4,A01285,2025-04-09,"9일 통계청이 발표한 ‘3월 고용동향’에 따르면, 지난 3월 취업자 수는 2858만9000명으로 전년 동월 대비 19만3000명 증가했다.",MATCH,2,claim_214419005a80a90d|claim_984ada600a9007c1,HOLD,MATCH,"수치나 비교 대상이 제시되지 않은 출처·서술 도입부로, 독립적인 수치 뉴스 주장을 추출할 수 없음",아니오,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-03,28589.0,28589000.0,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202503&endPrdDe=202503&objL1=0,ba95b3860024c3ea552e621c4d0c3ec24a1ef96fd16434bca699a0d60ba0c0af,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:03:24.270576+00:00,CLAIM_PARSE
A01285_6,A01285,2025-04-09,지난달 취업자 수 증가폭은 취업자가 26만명 넘게 늘어난 작년 4월 이후 11개월 만에 가장 크다.,MISMATCH,1,claim_e1f8c948badd0af0,HOLD,,CLAIM_SPLIT_UNAVAILABLE,아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:03:46.364065+00:00,CLAIM_SPLIT
A01345_10,A01345,2025-04-14,"이 업종 취업자의 전년 동기 대비 감소 폭은 작년 2분기(2000명), 3분기(4만5000명), 4분기(8만9000명) 등으로 확대되는 추세를 보였다가, 올해 1분기에 감소 폭이 다소 줄었지만 감소세는 여전한 상황이다.",MISMATCH,4,claim_1390d94a80ba5e13|claim_39a5ec6b5f6ed1f4|claim_9856da15fb59e9b7|claim_de44dcdcb5f74d4f,HOLD,,"KOSIS_CATALOG_UNAVAILABLE|감소세라는 방향성만 있고 지표, 수치, 단위, 비교 기준이 명시되지 않아 검증 가능한 단일 수치 주장으로 추출할 수 없음.|문장이 단편적이며 지표와 대상 모집단, 기준 시점이 명시되지 않아 수치의 의미를 확정할 수 없음|문장이 불완전하며 '감소 폭'이 전년 동기 대비 감소한 수치인지 기준 시점의 수치인지 불명확하고, 업종 및 목표 시점이 특정되지 않음",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:03:53.855950+00:00,CATALOG_SEARCH
A01359_9,A01359,2025-04-15,"특히 20대 후반 취업자 수는 242만명으로 전년 동기 대비 9만8000명(3.9%) 줄어, 지난 2013년 3분기(-10만3000명) 이후 12년 만에 최대 감소 폭을 보였다.",MISMATCH,2,claim_202334d4e349a99e|claim_e21fc78307284912,HOLD,,"MISSING_REQUIRED_SLOTS:time|현재 감소 폭의 대상 지표와 수치, 목표 시점이 문장에 명시되지 않아 독립적으로 검증 가능한 단일 수치 주장을 확정할 수 없음",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:04:15.011220+00:00,CLAIM_PARSE
A01902_19,A01902,2025-05-27,"26일 통계청에 따르면, 청년층인 15~29세 실업률은 7.3%로 코로나 대유행 막바지인 2022년(7.4%) 이후 3년 만에 4월 기준 최고다.",MISMATCH,2,claim_37d35e1c96539f94|claim_973d00ca88b0d479,HOLD,MATCH,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,아니오,DT_1DA7002S,ORG=101|TBL=DT_1DA7002S|ITM=T80|OBJ=G|MEMBER=15 - 29세|PRD_SE=월|PRD_DE=2025-04,7.3,7.3,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T80&prdSe=M&startPrdDe=202504&endPrdDe=202504&objL1=75,540b9095b9788b161118e2f411f2a85f57ca60f3b96d72a012b9b70c44b8e9c2,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:04:42.675667+00:00,CLAIM_PARSE
A02111_13,A02111,2025-06-12,고용률도 2011년 36.8%에서 지난달 48.3%로 불었다.,MISMATCH,1,claim_227b74a4dba6542a,AUTO,MISMATCH,,예,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T90|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-05,63.8,63.8,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T90&prdSe=M&startPrdDe=202505&endPrdDe=202505&objL1=0,1a07ffaa9b3e5c9ea55ab4a1742cc4ff8952ad0db8b3a9bc4dd920ae268bb33e,통과,dashboard-acceptance-25-live-20260824,2026-08-24T08:06:29.157642+00:00,
A02701_3,A02701,2025-11-09,"9일 국가데이터처의 경제활동인구 마이크로데이터에 따르면, 1964년생 상용근로자는 2023년 기준(59세) 29만1000명이었으나 지난해(60세)에는 23만7000명으로 5만4000명 감소했다.",MISMATCH,2,claim_8d9000cb3a4e08c4|claim_8f53e412d5fba182,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE|수치가 포함되지 않아 검증 가능한 단일 수치 주장으로 추출할 수 없음,아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:06:51.498445+00:00,HARD_GUARD
