기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,11,A00006_11,A00006_11,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,49,20,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00292,1,A00292_1,A00292_1,작년 11월 출생아 수가 2만95명으로 1년 전에 비해 14.6% 늘어났다고 통계청이 22일 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,43,29,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00292,4,A00292_4,A00292_4,월별 출생아 수는 작년 7월(7.9%)부터 11월까지 5개월 연속으로 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,43,28,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00298,5,A00298_5,A00298_5,우리나라 경제는 작년 1분기(1~3월) 성장률이 1.3%를 기록하며 ‘깜짝 성장’을 한 뒤 2분기(4~6월)에는 0.2% 뒷걸음질쳤다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,20,12,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00308,1,A00308_1,A00308_1,-0.2%(2024년 2분기)→0.1%(3분기)→0.1%(4분기) 한국 경제성장률이 3개 분기 연속으로 0% 안팎을 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,4,2,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00308,14,A00308_14,A00308_14,"경제 성장률에 얼마나 영향을 미쳤는지 보여주는 성장기여도는 순수출(수출-수입)이 작년 3분기 -0.8%포인트에서 4분기 0.1%포인트로 올라갔으나, 내수는 0.8%포인트에서 0%포인트로 추락했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,18,9,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00308,6,A00308_6,A00308_6,그나마 수출이 잘됐던 작년 1분기(1.3%) 덕에 2% 턱걸이를 했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,52,15,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00312,11,A00312_11,A00312_11,"실제로 지난해 ‘14대 대미 수출 품목’을 보면 반도체(107억달러), 자동차부품(82억달러), 석유화학·철강(각 43억달러) 등 중간재가 상당수를 차지한다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,12,54,16,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00353,3,A00353_3,A00353_3,28일 한국수입자동차협회(KAIDA)에 따르면 작년 1~12월 1억원이 넘는 수입차는 총 6만2520대가 판매됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,39,9,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00354,13,A00354_13,A00354_13,"50년 후 먼 미래가 아니더라도, 불과 25년 후인 2050년에 생산연령인구 1.3명이 고령 인구 1명을 부양해야 한다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,30,1,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00365,2,A00365_2,A00365_2,29일 농림축산식품부와 한국농수산식품유통공사(aT)에 따르면 지난해 떡류 수출액은 9140만달러(약 1313억원)로 1억달러에 근접했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,6,52,17,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00368,12,A00368_12,A00368_12,그나마 당시 반도체 경기가 워낙 좋았던 덕분에 수출·투자가 견실하게 버텨주며 2017년 3월부터 증가폭(0.9%포인트)을 끌어올릴 수 있었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,10,37,13,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00368,4,A00368_4,A00368_4,"◇20대 이하 고용률 45% 밑으로 26일 통계청에 따르면 지난해 12월 20대 이하(15~29세) 청년 고용률은 44.7%로 1년 전보다 1.3%포인트 감소하며, 지난해 5월(-0.7%포인트)부터 8개월째 감소세를 이어갔다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,68,9,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00396,4,A00396_4,A00396_4,벤츠 E-클래스는 2022년 국내 수입차 시장에서 단일 모델 최초로 20만대를 판매한 데 이어 지난해에도 전년(2만3642대)보다 2000대 이상 늘어나며 호조를 이어갔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,5,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00396,7,A00396_7,A00396_7,엔트리 모델인 메르세데스-벤츠 E200 아방가르드는 지난해 5월 출시 이후 짧은 판매 기간에도 지난해 수입차 트림(세부 모델)별 누적 판매 순위 3위(1만540대)에 오르기도 했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=MISSING | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,1,35,16,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00406,6,A00406_6,A00406_6,"품목별로는 한국의 최대 수출 품목인 반도체가 101억 달러(+8.1%)로 역대 1월 중 2022년 108억 달러에 이은 2위 실적을 기록하면서, 15개월 연속 수출 플러스 및 9개월 연속 수출 100억 달러 이상의 흐름을 이어갔다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,30,15,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00433,3,A00433_3,A00433_3,"2일 한국수입자동차협회(KAIDA)에 따르면, 지난해 국내에서 판매된 수입 SUV는 12만7754대로 집계돼 세단(12만6881대)보다 많았다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,30,22,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00440,17,A00440_17,A00440_17,"제조업 생산이 전월 대비 4.4% 늘었는데, 특히 반도체(5.6%)와 자동차(10.7%) 등 주요 수출 품목 생산이 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,8,30,10,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00448,20,A00448_20,A00448_20,다만 반도체를 중심으로 수출 실적이 회복되면서 작년 산업 생산은 1.7% 늘어 전년(1%)에 비해 증가 폭이 커졌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,35,8,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00475,13,A00475_13,A00475_13,이에 식료품·석유류·세제·의류 등 생활필수품 144개 품목을 집계한 생활물가 지수는 1년 전 대비 2.5% 올라 작년 7월(3%) 이후 반년 만에 가장 큰 오름폭을 보였다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,28,11,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00489,11,A00489_11,A00489_11,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,24,8,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00527,5,A00527_5,A00527_5,"10일 기획재정부에 따르면, 지난해 국세 수입은 336조5000억원으로 1년 전(344조1000억원)보다 7조5000억원(반올림 반영) 줄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,1,31,16,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00540,4,A00540_4,A00540_4,"10일 기획재정부가 발표한 ‘2024년 국세 수입 실적’에 따르면, 작년 국세 수입은 전년 대비 7조5000억원 줄어든 336조5000억원으로 집계됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,20,6,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00555,20,A00555_20,A00555_20,하지만 지난달 수출은 전년 동월 대비 10.3% 급감했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,29,20,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00555,23,A00555_23,A00555_23,월초 일평균 수출액 기준으로 2023년 9월(-14.5%) 이후 최대 감소폭이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,24,14,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00559,4,A00559_4,A00559_4,"지난해 대미 수출에서 자동차는 1위, 반도체는 3위를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,12,39,16,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00578,19,A00578_19,A00578_19,국내 1위 코인 거래소 업비트는 지난해 3분기에만 수수료 수입으로 약 1822억원 상당의 코인을 거둬들였다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=MISSING | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,1,39,13,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00579,10,A00579_10,A00579_10,노인 일자리에 참여하려는 고령층도 다수 몰리며 65세 이상 실업률이 9.6%로 전년 동월 대비 0.2%포인트 오르기도 했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,42,28,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00579,15,A00579_15,A00579_15,"청년층 고용률은 지난해 5월(-0.7%포인트) 이후 9개월째 감소하고 있는데, 코로나가 시작된 2020년 3월~2021년 2월 이후 최장 기간 감소세가 유지되는 상황이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,44,29,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00588,15,A00588_15,A00588_15,"작년 12월 취업자가 코로나가 한창이던 2021년 2월 47만3000명 줄어든 이후 3년 10개월 만에 5만2000명이 줄어든 것에선 회복됐지만, 속을 들여다보면 청년과 건설업 일자리 등을 중심으로 ‘고용 쇼크’ 수준의 충격이 이어지고 있다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,58,5,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
