기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00134,3,A00134_3,A00134_3,실업률은 전월(4.2%)보다 소폭(0.1% 포인트) 떨어진 4.1%를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,29,25,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00555,19,A00555_19,A00555_19,지난해 수출은 전년 대비 8.2% 증가하며 역대 최대 실적을 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,31,18,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00628,4,A00628_4,A00628_4,"17일 임광현 더불어민주당 의원과 기획재정부에 따르면, 지난해 근로소득세 수입은 61조원으로 전년보다 3.1%(1조9000억원) 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,36,15,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00709,8,A00709_8,A00709_8,"생산연령인구(15~64세)는 2017년(3686만명)을 정점으로 하락세로 돌아섰지만, 고령자 취업이 늘어난 데다 상대적으로 인구가 많은 1990년대 초반생들이 때맞춰 취업 시장에 적극 뛰어들면서 취업자 수를 끌어올렸던 것이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,49,24,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00736,15,A00736_15,A00736_15,작년 사망자는 35만84000명으로 전년 대비 5800명 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,2,10,5,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00736,4,A00736_4,A00736_4,"26일 통계청이 발표한 ‘2024년 출생·사망통계’에 따르면, 작년 출생아 수는 23만8300명으로 전년(23만명)대비 8300명 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,1,43,31,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00736,5,A00736_5,A00736_5,출생아 수가 전년 대비 증가한 것은 지난 2015년(3000명) 이후 9년 만이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,27,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00736,7,A00736_7,A00736_7,한 해 태어난 인구가 70만명 수준인 1990년대생들이 본격적으로 결혼을 하고 아이를 낳기 시작하면서 작년 출생아가 늘어났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,23,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00749,24,A00749_24,A00749_24,"출생아 수는 1995년생(69만1226명)부터 60만명대로 내려앉고, 2001년생은 50만명대(55만9934명), 2002년생(49만6911명)부터는 40만명대로 줄어든다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,30,20,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
A00856,12,A00856_12,A00856_12,수입도 전년보다 6.2% 줄어든 473억1000만달러로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,8,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00856,8,A00856_8,A00856_8,수출은 전년보다 9.1% 줄어든 498억1000만달러로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,33,14,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00856,9,A00856_9,A00856_9,수출이 전년보다 줄어든 것은 2023년 9월(-1.6%) 이후 1년 4개월 만이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,30,15,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00872,6,A00872_6,A00872_6,작년 2월과 비교했을 때 서울·부산·대구·광주·대전·울산 인구는 모두 줄었으나 인천 인구는 2만4704명이 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,22,14,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00872,8,A00872_8,A00872_8,작년 출생아 수는 1만5242명으로 전년보다 11.6% 증가한 것으로 나타났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,28,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
A00904,3,A00904_3,A00904_3,"11일 관세청에 따르면, 지난 1~10일 수출액은 138억7200만달러로 전년 동기 대비 2.9% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,4,26,16,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A01037,1,A01037_1,A01037_1,이달 1일부터 20일까지 수출액이 355억 달러(약 52조원)로 전년 동기 대비 4.5% 늘어났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,36,17,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01037,5,A01037_5,A01037_5,휴일을 뺀 조업 일수 하루 평균 수출액 역시 이달 1~20일 25억4000만달러를 기록해 전년 동기(23억5000만달러) 대비 8.2% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,4,41,13,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01164,4,A01164_4,A01164_4,"31일 통계청이 발표한 ‘2월 산업활동동향’에 따르면, 지난달 전(全)산업 생산지수는 111.7로 전월 대비 0.6% 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,27,11,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01285,1,A01285_1,A01285_1,지난달 청년 실업률이 7% 중반까지 치솟아 코로나 대유행으로 실업률이 10%까지 치솟았던 2021년 이후 4년 만에 가장 높았다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,44,36,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01285,7,A01285_7,A01285_7,하지만 청년층(15~29세) 취업자는 20만6000명 줄어 비상계엄이 터진 작년 12월부터 4개월 연속 20만명대 감소세를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,61,20,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01303,4,A01303_4,A01303_4,"다만 이달 초순(1~10일) 조업일수가 작년보다 하루 더 많았던 점을 고려하면, 일평균 수출액 증가폭은 0.3%에 그쳤다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,24,7,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
A01316,5,A01316_5,A01316_5,"이 기간 실제 일한 날인 조업 일수가 8.5일로 전년 동기 대비 하루 더 많았던 영향으로, 이를 고려한 일평균 수출액 증가 폭은 0.3%에 불과했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,24,12,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01385,1,A01385_1,A01385_1,지난해 국내 농가 수가 97만4000가구로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,26,25,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01385,2,A01385_2,A01385_2,국내 농가 수는 지난 2023년 99만9000가구를 기록하며 처음으로 100만 가구 아래로 떨어진 이후 하락세가 지속되고 있다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,28,23,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01642,8,A01642_8,A01642_8,실제 지난해 화장품 수출액은 68억달러(약 9조4384억원)로 역대 최고를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,30,13,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01822,6,A01822_6,A01822_6,"올해 1~4월 아이오닉5(9663대)와 코나 EV(5916대)의 수출량은 작년 동기 대비 65%, 42%씩 급감했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,20,16,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01927,11,A01927_11,A01927_11,분기별로 출생아 수가 6만5000명을 넘은 것은 지난 2022년 1분기(6만8339명) 이후 3년 만이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,43,28,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01927,15,A01927_15,A01927_15,이들보다 5년 정도 빠른 1980년대 후반이나 5년 늦은 1990년대 후반에는 연간 출생아 수가 각각 60만명대에 머물렀다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,43,28,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
A01927,17,A01927_17,A01927_17,"홍석철 서울대 경제학부 교수는 “통상 신혼 부부들이 결혼 후 3년간 아이를 많이 낳는다는 점을 고려하면, 올해는 계속 출생아가 늘어나면서 연간 합계출산율이 무난히 0.8명을 넘길 수 있을 것”이라고 했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,50,30,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A01927,23,A01927_23,A01927_23,2000년에 64만명이던 출생아 수는 2001년 56만명으로 줄더니 2002년부터 40만명대로 떨어졌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,11,6,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
