기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,18,A00006_18,A00006_18,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,35,12,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00268,7,A00268_7,A00268_7,조업 일수 하루 평균 수출액은 작년에 비해 1.4% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,41,13,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00274,19,A00274_19,A00274_19,"언제 다시 막힐지 모르니 서두르세요.” 지난해 신규 발급 중단 카드가 역대 최대(458종)를... ""노후 준비 이미 늦었다""... 인생 후반을 망치는 50대의 착각 우리나라 인구 1위인 50대. 올해 기준 862만명으로 전체의 17%를 차지한다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=MISSING | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,1,2,2,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00279,23,A00279_23,A00279_23,"행정안전부는 2024년 주민등록 인구통계를 분석한 결과, 출생자 수가 24만2334명으로 202... 김희래 기자 법무부, 검찰, 고위공직자범죄수사처를 취재합니다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,1,2,2,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00292,3,A00292_3,A00292_3,작년 1~11월 누적 출생아 수는 22만94명으로 전년 동기 대비 3% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,43,24,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00292,6,A00292_6,A00292_6,"통계청의 연간 통계는 아직 나오기 전이지만, 지난 3일 행정안전부의 주민등록 인구 통계에 따르면 작년 출생아 수는 24만2334명으로 9년 만에 처음으로 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,30,25,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00298,21,A00298_21,A00298_21,"성장률 중 건설투자는 작년 2분기 전기대비 -1.7%를 기록한 데 이어 3분기 -3.6%, 4분기 -3.2%를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,20,19,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00308,18,A00308_18,A00308_18,이정희 중앙대 교수는 “작년 한국 인구의 20%가 65세 이상인 초고령사회로 진입하면서 구조적으로 소비 동력이 떨어져 내수가 살아나기 쉽지 않다”고 했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,2,2,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00308,3,A00308_3,A00308_3,"성장률이 3개 분기 연속으로 0.1% 이하를 기록한 것은 외환 위기 직격탄을 맞은 1997년 4분기(-0.6%), 1998년 1분기(-6.7%), 2분기(-0.8%) 이후 26년 만에 처음이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,9,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00308,33,A00308_33,A00308_33,"1990년대까지 두 자릿수 성장률을 보였던 한국의 경제성장률은 2000년대 들어선 5%대, 2010년대엔 3%대, 2020년대 이후엔 2%대로 떨어지면서 피크 코리아 주장이 강해지고 있다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,7,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00347,47,A00347_47,A00347_47,"2009년 금융 위기를 겪은 후 금융 위기로 발생한 국채를 2011년부터 축소시키고 있고, 2016년부터는 연간 신규국채 발행이 최대 GDP의 0.35%를 초과하지 못하도록 했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,29,7,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00353,11,A00353_11,A00353_11,지난해부터 8000만원 이상 법인차에 연두색 표지판을 부착하게 한 것도 고가 수입차 판매 감소를 이끈 요인으로 꼽힌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,39,12,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00353,15,A00353_15,A00353_15,"2022년에도 39.1%로, 40% 가까운 이들이 법인 명의로 수입차를 등록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,39,8,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00354,1,A00354_1,A00354_1,4 2025년에 한국은 65세 이상 인구의 비중이 20%를 초과하는 초고령사회(super-aged society)에 진입한다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,44,13,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00406,3,A00406_3,A00406_3,산업통상자원부는 1월 수출이 전년 동월 대비 10.3% 감소한 491억 달러를 기록했다고 1일 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,37,16,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00440,4,A00440_4,A00440_4,"3일 통계청이 발표한 ‘2024년 12월 및 연간 산업활동동향’에 따르면, 작년 전체 산업 생산은 재작년보다 1.7% 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,27,15,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00440,6,A00440_6,A00440_6,특히 광공업 생산 중 수출용으로 출하된 규모가 전년 대비 4% 늘어나면서 전반적인 생산 증가세를 견인했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,28,15,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00478,11,A00478_11,A00478_11,작년 12월 수출은 전년보다 6.6% 늘어난 633억달러를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,38,14,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00478,12,A00478_12,A00478_12,"수송장비, 반도체제조장비 같은 자본재와, 소비재 수입이 늘며 수입도 전년대비 4.2% 가량 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,2,20,8,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00526,14,A00526_14,A00526_14,지난해 의약품 대미 수출액은 15억364만달러(약 2조2000억원)다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,30,19,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
A00529,9,A00529_9,A00529_9,"KDI는 “지난달 반도체를 포함한 ICT 품목의 일평균 수출은 전년 동월 대비 25% 증가했지만, ICT를 제외한 품목들의 일평균 수출액은 1.7% 감소했다”고 했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,39,13,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,0,,,
