기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,1,A00006_1,A00006_1,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,24,6,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00406,4,A00406_4,A00406_4,"일평균 수출은 전년 동월 대비 7.7% 증가한 25억 달러로, 2022년(25억 달러)에 이어 역대 1월 중 둘째로 높은 수준을 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,34,13,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00440,14,A00440_14,A00440_14,"다만 건설 수주는 7.2% 증가하면서, 2023년(-18.5%) 이후 1년 만에 증가세로 전환했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,17,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00440,22,A00440_22,A00440_22,"다만 건설 수주는 전년 동월 대비 26% 감소했는데, 사무실·점포 수주가 32% 감소한 모습이었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,18,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00459,11,A00459_11,A00459_11,"지난해 1분기도 건설수주는 전년 같은 기간 대비 15.6% 감소했고, 2분기(20.9%) 들어서야 반등했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,10,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00478,1,A00478_1,A00478_1,작년 수출 호조 등에 힘입어 우리나라 경상 수지 흑자가 전년에 비해 3배로 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,40,14,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00535,5,A00535_5,A00535_5,제너럴모터스(GM)도 지난달 수출 물량(4만8778대)이 1년 새 23.8% 줄어든 것으로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,32,22,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00538,15,A00538_15,A00538_15,"지난달 초순에는 수출이 17.9% 줄었는데, 한달만에 증가세로... 강우량 기자 2020년 조선일보에 입사해 사회부를 거쳐 경제부에서 일하고 있습니다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,24,7,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00544,5,A00544_5,A00544_5,KDI는 “올해 내수 부진이 완화하겠으나 수출 증가세가 둔화하면서 작년(2%)보다 낮은 성장률을 보일 것”이라고 내다 봤다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,50,17,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00555,18,A00555_18,A00555_18,"◇버팀목 수출도 옛말, 일평균 수출 6.4% 줄어 작년에 그나마 한국 경제의 버팀목 역할을 했던 수출 실적은 올 들어 크게 주춤하는 모습을 보이고 있다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,18,10,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00579,19,A00579_19,A00579_19,"지난달 건설업 취업자는 전년 동월 대비 16만9000명 감소하면서, 지난 2013년 관련 통계 작성 이래 최대 감소폭을 보였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,56,20,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00579,9,A00579_9,A00579_9,이 덕분에 지난달 65세 이상 고령층 취업자만 33만8000명 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,37,27,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00622,3,A00622_3,A00622_3,작년 수입액은 직전 최대치였던 2018년(13억3200만달러)보다도 8.6% 많다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,39,14,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00673,12,A00673_12,A00673_12,전체 국세 수입 중 근로소득세 비율... 신선 과일 수입액 14억달러 '역대 최대' 작년 오렌지·파인애플 등 신선 과일 수입액이 14억달러(약 2조220억원)를 넘어서 역대 최대를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,21,19,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00840,3,A00840_3,A00840_3,"6일 통계청이 발표한 ‘2월 소비자물가 동향’에 따르면, 지난달 소비자물가지수는 116.08로 전년 동월 대비 2% 상승했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,아니오,2,9,4,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00849,6,A00849_6,A00849_6,"1억원 넘는 수입 법인차 구매(3만5320대)가 재작년 대비 31% 안팎 줄어든 상황에서, 50대가 시장 침체를 막는 소비층으로 부상한 것이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,7,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00983,1,A00983_1,A00983_1,0 작년 말 한국의 국내총생산(GDP) 대비 가계 부채 비율이 91.7%로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,39,16,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A01435,6,A01435_6,A01435_6,수입은 340억 달러로 지난해 같은 기간 대비 11.8% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,8,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A01708,3,A01708_3,A01708_3,"12일 관세청에 따르면, 이달 1~10일 수출액은 128억 달러로 지난해 같은 기간 대비 23.8% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,32,15,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A01947,32,A01947_32,A01947_32,지난해 한국의 성장률(2.0%) 중 내수 비율은 0.1%포인트에 불과했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,4,2,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A01952,4,A01952_4,A01952_4,"통계청이 30일 발표한 ‘4월 산업활동동향’에 따르면, 지난달 전(全) 산업 생산지수는 113.5(2020년=100)로 3월보다 0.8% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,아니오,2,20,11,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02025,3,A02025_3,A02025_3,5일 한국수입자동차협회(KAIDA)에 따르면 올해 5월 수입 승용차 신규 등록 대수는 작년 대비 16.4% 증가한 2만8189대로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,32,21,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02038,15,A02038_15,A02038_15,국제결제은행(BIS)에 따르면 지난해 3분기 말 기준 한국의 GDP 대비 가계 부채 비율은 90.7%로 조사 대상 44국 중 다섯째로 높았다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,27,17,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02051,11,A02051_11,A02051_11,"지난해 전체 수출의 75%를 차지한 대미 수출은 한 달 사이 15.7% 줄었고, 전체 수출은 10.8% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,37,17,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02111,6,A02111_6,A02111_6,4월만 해도 690만6000명이었던 60세 이상 취업자는 지난달 704만9000명으로 처음으로 700만명을 넘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02184,11,A02184_11,A02184_11,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,29,7,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02184,9,A02184_9,A02184_9,작년에도 대졸 실업률(5.8%)이 고졸(5.1%)을 웃돌았고 올 들어서도 이런 상황이 이어지고 있다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,29,10,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02202,1,A02202_1,A02202_1,지난해 국내 1인 가구가 800만 가구를 넘어서 역대 최대 규모를 기록한 것으로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,23,15,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02202,2,A02202_2,A02202_2,1인 가구는 2021년 700만 가구를 넘어선 지 3년 만에 800만 가구를 돌파했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,23,16,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02202,5,A02202_5,A02202_5,"국내 1인 가구 수는 2015년 500만 가구 수준에서 서서히 증가해오다 2019년 600만 가구, 2021년 700만 가구를 넘어섰고 이번에 800만 가구 선을 넘어섰다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,4,3,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
