기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00018,4,A00018_4,A00018_4,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,12,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00751,27,A00751_27,A00751_27,"실업률은 4% 수준이고, 작년 12월에는 일자리 25만개가 새로 만들어졌다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,19,11,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00760,3,A00760_3,A00760_3,"공정위는 자산총액이 전년도 명목 국내총생산(GDP)의 0.5% 이상(지난해는 10조4000억원)인 기업집단을 ‘상호출자제한 기업집단’으로, 자산 5조원 이상인 경우 ‘공시대상 기업집단’으로 지정한다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,39,18,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00774,1,A00774_1,A00774_1,지난달 한국 수출이 작년보다 1% 증가한 526억달러(약 77조원)를 기록하며 플러스로 돌아섰다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,18,14,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00840,18,A00840_18,A00840_18,"다만 토마토(-19.5%)와 딸기(-6.9%), 바나나(-11.4%) 등 과실류 가격이 떨어지면서 농산물 물가는 전년 동월 대비 1.2% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,44,22,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00904,1,A00904_1,A00904_1,이달 1~10일 수출액이 전년 동기 대비 2.9% 증가한 것으로 나타났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,30,14,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00904,11,A00904_11,A00904_11,이 기간 수입은 159조1800만달러로 전년 동기 대비 7.3% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,19,18,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01026,9,A01026_9,A01026_9,"1월 소비자물가는 전년보다 4% 올라, 2년 만의 최고치였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,51,4,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01035,28,A01035_28,A01035_28,"국내 의약품 수출액은 지난해 84억8361만달러였는데, 이 중 대미(對美) 수출액은 15억364만달러(18%)로 가장 큰 비율을 차지했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,33,22,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01037,12,A01037_12,A01037_12,"올해 1월은 엿새 황금 설 연휴 등 영향으로 10.1% 줄었고, 지난달엔 0.7% 늘어났지만 조업 일수 하루 평균 수출액은 5.9% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,27,22,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01037,6,A01037_6,A01037_6,수입액은 원유·가스·석탄 등 에너지 수입액 감소 여파로 전년 동기 대비 1.4%로 줄어든 344억달러로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,38,15,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01037,8,A01037_8,A01037_8,올해 들어 지난 20일까지 누계 무역 수지는 35억달러 흑자였다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,20,13,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01204,13,A01204_13,A01204_13,지난달 외식 물가 역시 전년 대비 3.0% 오르면서 2개월 연속 3% 상승을 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,46,15,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01303,10,A01303_10,A01303_10,지난 1~10일 수입은 196억7500만달러로 전년 동기(184억6800만달러) 대비 6.5% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,20,10,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01303,11,A01303_11,A01303_11,"수출에서 수입을 제외한 무역수지 적자는 10억9100만달러로, 전년 동기(21억1600만달러) 대비 절반 수준으로 줄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,20,12,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
