기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00279,22,A00279_22,A00279_22,"3일 행... 작년 출생자 수 9년만에 늘어...60대가 40대, 70대 이상이 30대 인구 수 추월 우리나라 출생자 수가 9년만에 전년보다 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,2,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00279,7,A00279_7,A00279_7,그러나 지난해 7월(7.9%)부터 5개월 연속 출생아 수가 늘어나는 등 아이 울음소리가 커지는 분위기다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,11,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00279,8,A00279_8,A00279_8,5개월 연속 출생아 수가 늘어난 것은 2015년 3~7월 이후 9년 4개월 만에 처음이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,11,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00279,9,A00279_9,A00279_9,12월까지 같은 추세가 이어질 경우 작년 한해 출생아 수는 2023년(23만28명) 수준을 넘어서 2015년 이후 9년 만에 출생아 수가 반등하게 된다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,11,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00298,10,A00298_10,A00298_10,한은은 올해 연간 성장률 중 건설 투자 부분이 -1.3% 수준일 것으로 봤다.,,,아니오,0,0,0,HOLD,CATALOG_SEARCH,KOSIS_CATALOG_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_CATALOG_UNAVAILABLE,,,,,,0,,,
A00353,16,A00353_16,A00353_16,"그러나 작년에 법인 명의로 수입차를 등록한 비율은 35.3%(9만2983건)로, 전년 대비 4.3%포인트 줄어들었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,5,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00353,6,A00353_6,A00353_6,전체 수입차 판매에서 1억원 이상 수입차가 차지하는 비중도 2023년 28.9%에서 작년에는 23.7%로 5.2%포인트 떨어졌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,2,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00354,11,A00354_11,A00354_11,한국의 노년 부양비는 2024년 27.4명에서 2072년 104.2명으로 3.8배 증가한다.,,,아니오,0,0,0,HOLD,CATALOG_SEARCH,KOSIS_CATALOG_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_CATALOG_UNAVAILABLE,,,,,,0,,,
A00358,37,A00358_37,A00358_37,"국가 부채 상환 리스크가 쌓여있던 상황에서 2019년 4월 이슬람국가(IS) 관련 단체의 부활절 테러로 수백 명의 사상자가 발생했고, 2020~2021년 코로나19 팬데믹(pandemic· 감염병 대유행)이 발발하며 국내총생산(GDP)의 10% 이상을 차지하는 관광업이 주저 앉았다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,39,1,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00368,19,A00368_19,A00368_19,"◇2년 연속 취업자 증가폭 10만명대 그칠 듯 정부도 대내·외 불확실성을 고려해, 올해 경제정책방향을 발표하면서 올해 취업자 수 증가폭을 12만명으로 내다봤다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,1,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00368,5,A00368_5,A00368_5,청년 고용률이 45% 아래로 떨어진 건 코로나가 한창 기승하던 2021년 5월(44.4%) 이후 43개월 만이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00368,9,A00368_9,A00368_9,"박 전 대통령의 탄핵 소추가 이뤄지기 직전인 2016년 11월의 경우 전년 동월 대비 청년 고용률이 보합(0%포인트 변동)을 보이며, 2013년 9월(0.1%포인트)부터 2016년 10월(0.6%포인트)까지 38개월간 이어지던 증가세가 꺾였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00381,19,A00381_19,A00381_19,전체 인구에서 고령자의 비율이 20%에 육박할 정도로 고령층 인구 ... 강우량 기자 2020년 조선일보에 입사해 사회부를 거쳐 경제부에서 일하고 있습니다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,2,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00382,5,A00382_5,A00382_5,"한국은 2023년(1.4%) 1%대 성장률에 이어, 작년에는 간신히 2%에 턱걸이했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,4,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00399,21,A00399_21,A00399_21,"2017년 트럼프 1기가 시작했을 때 물가(2.1%)보다 훨씬 높고, 트럼프 1기 때 가장 높았던 물가(2018년 6~7월 2.9%)와 같은 수준이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,3,2,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00437,5,A00437_5,A00437_5,앞서 김병환 금융위원장은 올해 가계 부채 증가율을 경상성장률 증가 범위인 3.8% 내로 관리해 나가겠다고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,1,4,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00448,30,A00448_30,A00448_30,"동남아시아 사업 확장을 위한 인터내셔널헤드쿼터(iHQ) 조직도 새로 구성할... 내수 부진에 계엄·탄핵 '겹악재'...청년 고용률 43개월 만에 최저 지난해 하반기부터 내수 경기가 부진한 와중에, 계엄·탄핵 사태와 초유의 현직 대통령 구속까지 겹치며 청년 고용이 4년 만에 최저 수준으로 떨어졌... 소상공인 45% ""작년 월평균 영업이익 200만원 이하"" 국내 소상공인 10명 중 7명은 지난해 경영 실적이 좋지 않았다고 응답했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,1,1,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00463,1,A00463_1,A00463_1,지난달 소비자물가가 전년 동월 대비 2.2% 오른 것으로 나타났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,2,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
