Claim번호,원문,지표,단위,주기,지역,대표원인,적용규칙군,개선전실패단계,개선전사유,재실행후실패단계,재실행후사유,단계변화,엄격공식판정완료,최종판정,근거좌표수,공식값수,공식근거수,공식근거URL,공식응답해시
A01149_18,지난해 대미수출액(약 61조3533억원)을 넘어서는 규모다.,수출액,원,년,,SEMANTIC_COORDINATE_AMBIGUITY,NO_AUTOMATIC_UNIT_CONVERSION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01176_3,,과수원 면적,ha,월,경북 | 안동시 | 의성군 | 청송군 | 영양군,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01185_23,"올해 1월 기준 광공업생산지수(상승)와 취업지수(회복)를 제외한 8개 지표(서비스업생산지수, 소매판매액지수, 설비투자지수, 건설기성액, 수출액, 수입액, 기업경기실사지수, 소비자기대지수)가 하강 국면에 분포했다.",광공업생산,개,년,경기,CLAIM_STRUCTURE_ERROR,SOURCE_INDICATOR_VALUE_ROLE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01324_6,키움증권의 지난해 국내 주식 위탁 매매 수수료 수입은 총 3697억원이다.,수입액,원,년,전국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,후보 의미 비교,AMBIGUOUS_MARGIN,다음단계진전,N,UNDETERMINED,1,0,0,,
A01386_5,,경제성장률,%,분기,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01464_3,,총인구,건,월,,CLAIM_STRUCTURE_ERROR,SOURCE_INDICATOR_VALUE_ROLE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01480_17,순수출 성장 기여도는 올해 1분기 0.3%포인트로 집계됐다.,순수출 성장 기여도,%p,분기,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01539_16,3만달러를 넘은 2014년쯤에는 자동차·화학·정유(차화정)가 반도체와 함께 수출을 쌍끌이했다.,수출액,달러,년,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01641_18,지난해 기업들이 낸 법인세 수입(62조5000억원)과 맞먹는 수준이다.,수입액,원,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,후보 의미 비교,AMBIGUOUS_MARGIN,다음단계진전,N,UNDETERMINED,1,0,0,,
A01693_1,올해 1분기(1~3월) 성장률이 -0.2%로 뒷걸음질 쳤던 우리 경제가 세계 주요국 중 1분기에 성장이 가장 더뎠던 것으로 나타났다.,경제성장률,%,분기,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01708_16,,무역수지,달러,월,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01723_2,"2000년대 후반 잠재성장률이 4% 수준이었음을 고려하면, 20년 만에 반 토막 난 것이다.",경제성장률,%,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01762_4,한국의 1인당 GDP(국내총생산)는 지난해 기준 4926만원이다.,1인당 GDP,원,년,전국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01798_35,"올해 1~4월 우리나라는 스페인에 오징어를 2180톤 수출했는데, 작년 같은 기간에는 스페인에 수출한 오징어가 한 마리도 없었다.",오징어 수출량,톤,누계,전국,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01894_4,저출산고령사회위원회에 따르면 2023년 기준 국내 치매 인구는 124만명이다.,총인구,명,년,전국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A01953_8,이는 한국제약바이오협회가 집계한 지난해 기술 수출액(61억3300만달러)을 이미 넘어선 것이다.,수출액,달러,년,전국,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02022_15,노동투입이 잠재성장률에 기여하는 정도도 2000년대 초반과 비슷한 30% 수준으로 낮아졌다.,경제성장률,%,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02179_7,특히 아랍에미리트는 2031년까지 GDP의 40%를 AI 산업에서 창출하겠다고 한다.,경제성장률,%,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02253_15,,경제성장률,%,분기,아일랜드,REGION_COORDINATE_GAP,OFFICIAL_REGION_ALIAS,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02385_22,"이재명 대통령이 취임 닷새 만인 지난달 9일 “라면 한 개에 2000원도 한다는데, 진짜냐”며 요주의 품목으로 라면을 콕 짚어 언급했지만, 라면을 포함한 가공식품 물가는 고공 행진하고 있다.",물가상승률,원,월,,CLAIM_STRUCTURE_ERROR,SOURCE_INDICATOR_VALUE_ROLE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02385_32,라면에 계란을 풀어 파는 외식 라면 물가도 지난달 4%나 뛰었다.,물가상승률,%,월,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02395_19,2005년 인구조사에서는 남북 이산가족 유무를 물었는데 총 71만5968명의 국민이 “북한에 가족이나 친인척이 있다”고 답했다.,총인구,명,년,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02631_3,"보고서는 2019∼2024년 국가데이터처 소비자물가지수 분류 항목 중 의식주와 관련 있고 상승률이 높은 15개 항목(식료품, 수도 및 주거 관련 서비스, 음식 서비스 등)을 중점적으로 분석했다.",소비자물가지수,개,년,,CLAIM_STRUCTURE_ERROR,SOURCE_INDICATOR_VALUE_ROLE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02656_28,이는 지난해 1인 가구 최저생계비(133만원)에 못 미치는 수준이다.,1인 가구 수,원,년,,CLAIM_STRUCTURE_ERROR,SOURCE_INDICATOR_VALUE_ROLE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A02700_19,코로나 시기였던 2020년 인구주택총조사의 최종 응답률은 96.3%였다.,인구주택총조사 최종 응답률,%,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_0236b22fed29bb35,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",수출액,억 달러,년,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_08456a7c943ec326,"이는 자산 총액이 최근 명목 GDP 확정치의 0.5%(올해는 11조6000억원) 이상인 경우 지정되는데, 올해 두나무와 한국앤컴퍼니가 새로 들어오면서 46곳이 됐다.",경제성장률,%,년,전국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_0d6482ba1fa9a6ab,"1990년 64만9000명대였던 출생아 수가 1991년 70만9000명대로 뛰어오른 데 이어, 올해 33세인 1992년생은 출생아 수가 73만명대로 2차 에코 붐 세대 중에서도 가장 많았기 때문이다.",출생아 수,명,년,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_155c3f8814001494,"대중 수출은 지난 2010년(1168억3800만달러)부터 1000억달러선을 넘어섰고, 2021년에는 1629억1300만달러까지 늘어났지만 이후 감소세가 눈에 띄었다.",수출액,USD,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_1aa98594f46770a7,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",수출,억달러,월,,METADATA_GAP,OFFICIAL_METADATA_REFRESH,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,후보 의미 비교,AMBIGUOUS_MARGIN,다음단계진전,N,UNDETERMINED,1,0,0,,
claim_22d76b35abe5866e,지난 1~10일 반도체 수출액은 36억2900만달러로 전년 동월 대비 22% 뛰었다.,수출액,달러,월,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_297f5d4a6be813a9,"작년 전체 자동차 부품 수출액은 총 225억4700만달러(약 32조4300억원)로, 이 중 대미 수출 비중(36.5％)이 가장 컸다.",자동차 부품 수출액,달러,년,전체,REGION_COORDINATE_GAP,OFFICIAL_REGION_ALIAS,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_2d1e921e3ec4a6fc,지난달 비경제활동인구 중 활동 상태를 ‘쉬었음’이라고 응답한 20대는 39만6000명으로 전년 동월 대비 2000명 늘었다.,비경제활동인구 중 활동 상태가 ‘쉬었음’인 인구,명,월,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_3375a461ad29e545,반면 국내 산업 중 가장 많은 인력을 고용하는 제조업은 지난달 취업자 수가 441만4000명으로 전년 동월 대비 8만3000명 줄었다.,취업자 수,명,월,국내,REGION_COORDINATE_GAP,OFFICIAL_REGION_ALIAS,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,완료,WITHIN_TOLERANCE,공식판정완료,Y,MATCH,1,1,1,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7E06S_NEW&itmId=T30&prdSe=M&startPrdDe=202506&endPrdDe=202506&objL1=10,81dfe8132b57aedc1c544c69cf8686ce3085eb8b0ec9ebcf7664df3fa0c9d91b
claim_33a229c35a60058a,"올해 1분기 우리나라 성장률은 -0.2%로 역성장했는데, 설비 투자 성장률은 이보다 낮은 -0.4%였다.",우리나라 성장률,%,분기,대한민국,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_3548667ef4067f27,2023년 말 일반 정부 부채는 약 1217조원(GDP의 50.7%)이다.,일반 정부 부채,조원,년,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_4e7f395f77940f8f,생활 물가와 소비자물가 차이는 작년 상반기 0.6%포인트에서 하반기 0.1%포인트로 줄었다가 올해 1~5월 0.4%포인트로 다시 확대되는 추세다.,생활물가와 소비자물가의 차이,%포인트,1~5월,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_57da797b1c0ab29f,"◇반도체로 2만불, 車로 3만불 시대… ‘4만불 엔진’은 안 보여 1만729달러(1994년)→2만162달러(2005년)→3만667달러(2014년). 한국 경제는 1인당 GDP가 1만달러 간격의 허들을 넘을 때마다 확실한 동력을 갖고 있었다.",1인당 GDP,달러,년,한국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_5f13c1222537880e,올해 두나무를 포함해 자산총액이 11조6000억원(최근 명목 GDP 확정치의 0.5%) 이상인 기업집단 46곳이 상호출자제한기업집단으로 지정됐다.,상호출자제한기업집단 지정 기업집단 수,곳,년,대한민국,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_5f58fe9138cdce63,,취업자,명,반기,대한민국,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_68783c5d74281af2,,상용근로자 수,명,년,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_68f111412bb9df44,그런데 1~4월 고등어 수출량은 3만7888톤으로 전년 동월(1만4178톤) 대비 167%나 폭증했다.,수출량,톤,1~4월 누계,,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_696fd653e7921dfb,,예산,억원,년,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_6b36a4392062740e,"15일 한국수입자동차협회(KAIDA)에 따르면, 작년 수입 승용차 판매량은 26만3288대로 2023년 대비 2.9％ 줄었다.",수입 승용차 판매량,대,년,한국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_70931b90f2bda6d9,"하지만 지난 1분기까지 4개 분기 연속 성장률이 0.1%를 밑돌자, 경기 부양에 추가 재정을 투입할 수 있다고 공식화한 것이다.",성장률,%,분기,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_7555330ed60c895a,"국가데이터처가 22일 발표한 '2025년 8월 경제활동인구조사 근로형태별 부가조사'에 따르면, 지난 8월 기준 비정규직 근로자는 856만8000명으로 전년 동월 대비 11만 명 증가했다.",근로자 수,명,월,대한민국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_7e26ca8b021dc775,작년에도 대졸 실업률(5.8%)이 고졸(5.1%)을 웃돌았고 올 들어서도 이런 상황이 이어지고 있다.,실업률,%,년,한국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_7e7c3ca7eabeece5,"올해 들어 소비자물가는 지난 1월(2.2%)부터 2월(2.0%), 3월(2.1%), 그리고 4월까지 넉 달 연속으로 2%대를 유지하고 있다.",소비자물가 상승률,%,월,대한민국,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_8553de442b750f6e,"소비자물가는 작년 9월(1.6%)부터 12월(1.9%)까지 4개월간 1%대를 유지하다가, 올해 들어 지난 1월(2.2%)과 2월(2%)에 이어 세 달 연속으로 2%대를 기록했다.",소비자물가,%,월,,SEMANTIC_COORDINATE_AMBIGUITY,NO_AUTOMATIC_UNIT_CONVERSION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_863eebfa6f331bc6,"2일 한국수입자동차협회(KAIDA)에 따르면, 지난해 국내에서 판매된 수입 SUV는 12만7754대로 집계돼 세단(12만6881대)보다 많았다.",수입액,대,년,전국,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_86c3569ecb965994,,잠재성장률,%,decade,대한민국,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_876392cfe0983300,"올해 내수의 성장률 기여도는 0.8%포인트, 순수출 성장률 기여도는 0%포인트 정도로 봤다.",성장률 기여도,%포인트,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_8aa30da67bf9f7e7,"지난달 실업률은 3.8%로 2022년 1월(4.1%) 이후 가장 높았고, 청년 실업률은 5.9%로 6%에 육박했다.",실업률,%,월,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_8cae8d34eacd941c,농림축산식품부는 6일 올해 상반기 아이스크림 수출액이 6550만달러(894억원)를 기록했다고 밝혔다.,수출액,만달러,반기,대한민국,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
claim_98c3281f01004e9b,"지난해 기준 65세 이상 연금 소득자의 월평균 연금 소득은 70~80만원 수준으로, 같은 해 1인 가구 월 최저 생계비(134만원)에 못 미친다는 설명이다.",월평균 연금 소득,만원,월,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
