실행구분,부모Claim번호,자식Claim번호,원문,지표,기사수치,단위,시점,주기,계산방식,구조화상태,공식조회진입,최종상태,중단사유,의미표준,후보통계표수,가까운후보탈락사유,공식좌표,공식값,최종판정,공식값URL,공표URL,응답해시,공표해시,실행단계
개선전,A02656_27,claim_658a116c9cd93f9f,조사 시점을 기준으로 최근 3개월간 비거주 복지시설 운영업 취업자의 평균 임금은 125만원이다.,평균 임금,125.0,만원,최근 3개월,,DIRECT_VALUE,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,RELATIVE_TIME_UNRESOLVED,,0,,[],[],,,,,,
개선전,A02343_4,A02343_4,산업 생산은 지난 4월(-0.8%) 이후 두 달 연속 마이너스다.,전산업생산,0.8,%,2025-04,M,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,전산업생산지수,1,UNIT_CONFLICT:1,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
개선전,A02282_18,claim_fa0bb5df1f9daeb1,상대적으로 인구가 많은 1990년... 1월 출생아 11.6% 역대 최대폭 증가...'제2 에코붐' 90년대생 효과 올해 첫 달 출생아가 전년 동월 대비 11.6% 늘어나며 1월 기준 사상 최대 증가폭을 보였다.,출생아 수,11.6,%,2025년 1월,월,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,출생아 수,1,DIMENSION_MEMBER_CONFLICT:1,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
개선후외부재실행,A00579_10,claim_158f2fecc3c9dc11,노인 일자리에 참여하려는 고령층도 다수 몰리며 65세 이상 실업률이 9.6%로 전년 동월 대비 0.2%포인트 오르기도 했다.,실업률,9.6,%,,MONTHLY,GROWTH_RATE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,,0,,[],[],,,,,,
개선후외부재실행,claim_6e5051d37f7272cd,claim_6640ea0f0882b796,특히 건설업 취업자 수는 전년 동월 대비 8.7% 줄었는데,취업자 수,8.7,%,,MONTHLY,GROWTH_RATE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,전년 동월 대비 감소율은 명시됐지만 비교 대상 월이 문장에 직접 제시되지 않아 목표 시점을 확정할 수 없음,,0,,[],[],,,,,,
개선후외부재실행,claim_6e5051d37f7272cd,claim_f1992da5ed47480e,2013년 관련 통계 작성 이래 최대 감소 폭이다.,,,,,,THRESHOLD,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,대상 지표와 감소 폭의 수치가 생략되어 있어 단일 수치형 주장으로 확정할 수 없음,,0,,[],[],,,,,,
개선후외부재실행,A01752_11,claim_94f448fb6cab99aa,제조업은 지난달 기준 취업자 수가 439만7000명으로 전체 취업자의 15.2%를 차지하는 ‘일자리 창출 1위 업종’이다.,취업자 수,4397000.0,명,지난달,월간,DIRECT_VALUE,HUMAN_REVIEW,STRUCTURAL_HOLD,HUMAN_REVIEW,"문장에 취업자 수와 전체 취업자 대비 비중, 순위성 표현이 함께 있으나 중심 수치 하나로 구조화했으며 ‘일자리 창출 1위’의 공식 순위 범위와 기준은 불명확함",,0,,[],[],,,,,,
개선후외부재실행,A02096_10,claim_70158250fb049f4f,다만 지난 4월까지 1년2개월 연속 감소했던 도소매업 취업자는 지난달 1만8000명 늘어 증가세로 돌아섰다.,도소매업 취업자 증감,18000.0,명,2025년 5월,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,도소매업 취업자 증감,9,DIMENSION_MEMBER_CONFLICT:7 | FREQUENCY_CONFLICT:6 | TIME_NOT_AVAILABLE:6 | UNIT_CONFLICT:2,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_EVIDENCE_COORDINATE_CANDIDATE)
개선후외부재실행,A02558_21,A02558_21,지난달 비경제활동인구 중 활동 상태를 ‘쉬었음’이라고 응답한 20대는 39만6000명으로 전년 동월 대비 2000명 늘었다.,경제활동인구,20.0,대,2025-06,M,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,KOSIS_CATALOG_UNAVAILABLE,,0,,[],[],,,,,,
개선후외부재실행,A02569_6,claim_bf7ca16b4797cde9,하지만 전체 취업자의 15% 이상을 차지하는 취업자 수 1위 업종인 제조업 분야는 전년 동월 대비 8만3000명 줄었다.,취업자 수,83000.0,명,,월,DIFFERENCE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,,0,,[],[],,,,,,
개선후외부재실행,A02633_10,A02633_10,"특히 50대는 작년까지는 계속해서 매달 취업자 수가 전년대비 증가했는데, 올해 들어 1월부터는 9개월 연속 전년대비 감소하는 모습을 보이고 있다.",취업자 수,50.0,대,2024,Y,DIFFERENCE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HUMAN_REVIEW,CLAIM_SPLIT_UNAVAILABLE,,0,,[],[],,,,,,
개선후외부재실행,A02638_3,claim_a7c0eee6078c7244,"17일 국가데이터처의 ‘9월 고용 동향’에 따르면, 지난달 20대 취업자는 343만5000명으로 지난해 9월(356만9000명)보다 13만4000명 줄었다.",취업자,134000.0,명,2025년 9월,MONTHLY,DIFFERENCE,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,,0,,[],[],,,,,,
개선후외부재실행,A02638_5,claim_482f0df9c9f2ebc4,20대 취업자 수는 2022년 11월(-4000명) 이후 2년 11개월 연속 줄어들고 있다.,취업자 수,-4000.0,명,2022년 11월,MONTHLY,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,취업자 수,59,DIMENSION_MEMBER_CONFLICT:21 | METADATA_INCOMPLETE:38 | TIME_NOT_AVAILABLE:10 | UNIT_CONFLICT:2,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_EVIDENCE_COORDINATE_CANDIDATE)
개선후외부재실행,A02656_27,claim_658a116c9cd93f9f,조사 시점을 기준으로 최근 3개월간 비거주 복지시설 운영업 취업자의 평균 임금은 125만원이다.,평균 임금,125.0,만원,조사 시점 기준 최근 3개월,3개월,DIRECT_VALUE,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,RELATIVE_TIME_UNRESOLVED,,0,,[],[],,,,,,
개선후외부재실행,A02343_4,A02343_4,산업 생산은 지난 4월(-0.8%) 이후 두 달 연속 마이너스다.,전산업생산,0.8,%,2025-04,M,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,전산업생산지수,1,UNIT_CONFLICT:1,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
개선후외부재실행,A02282_18,claim_fa0bb5df1f9daeb1,상대적으로 인구가 많은 1990년... 1월 출생아 11.6% 역대 최대폭 증가...'제2 에코붐' 90년대생 효과 올해 첫 달 출생아가 전년 동월 대비 11.6% 늘어나며 1월 기준 사상 최대 증가폭을 보였다.,출생아 수 증가율,11.6,%,2025년 1월,월,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,출생아 수,63,FREQUENCY_CONFLICT:37 | METADATA_INCOMPLETE:25 | TIME_NOT_AVAILABLE:53,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
저장결과결정적재생,A00579_10,claim_158f2fecc3c9dc11,노인 일자리에 참여하려는 고령층도 다수 몰리며 65세 이상 실업률이 9.6%로 전년 동월 대비 0.2%포인트 오르기도 했다.,실업률,9.6,%,,MONTHLY,GROWTH_RATE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,,0,,[],[],,,,,,
저장결과결정적재생,claim_6e5051d37f7272cd,claim_6640ea0f0882b796,특히 건설업 취업자 수는 전년 동월 대비 8.7% 줄었는데,취업자 수,8.7,%,,MONTHLY,GROWTH_RATE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,전년 동월 대비 감소율은 명시됐지만 비교 대상 월이 문장에 직접 제시되지 않아 목표 시점을 확정할 수 없음,,0,,[],[],,,,,,
저장결과결정적재생,claim_6e5051d37f7272cd,claim_f1992da5ed47480e,2013년 관련 통계 작성 이래 최대 감소 폭이다.,,,,,,THRESHOLD,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,대상 지표와 감소 폭의 수치가 생략되어 있어 단일 수치형 주장으로 확정할 수 없음,,0,,[],[],,,,,,
저장결과결정적재생,A01752_11,claim_94f448fb6cab99aa,제조업은 지난달 기준 취업자 수가 439만7000명으로 전체 취업자의 15.2%를 차지하는 ‘일자리 창출 1위 업종’이다.,취업자 수,4397000.0,명,지난달,월간,DIRECT_VALUE,HUMAN_REVIEW,STRUCTURAL_HOLD,HUMAN_REVIEW,"문장에 취업자 수와 전체 취업자 대비 비중, 순위성 표현이 함께 있으나 중심 수치 하나로 구조화했으며 ‘일자리 창출 1위’의 공식 순위 범위와 기준은 불명확함",,0,,[],[],,,,,,
저장결과결정적재생,A02096_10,claim_70158250fb049f4f,다만 지난 4월까지 1년2개월 연속 감소했던 도소매업 취업자는 지난달 1만8000명 늘어 증가세로 돌아섰다.,도소매업 취업자 증감,18000.0,명,2025년 5월,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,도소매업 취업자 증감,9,,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_EVIDENCE_COORDINATE_CANDIDATE)
저장결과결정적재생,A02558_21,A02558_21,지난달 비경제활동인구 중 활동 상태를 ‘쉬었음’이라고 응답한 20대는 39만6000명으로 전년 동월 대비 2000명 늘었다.,경제활동인구,20.0,대,2025-06,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,KOSIS_CATALOG_UNAVAILABLE,경제활동인구,22,,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
저장결과결정적재생,A02569_6,claim_bf7ca16b4797cde9,하지만 전체 취업자의 15% 이상을 차지하는 취업자 수 1위 업종인 제조업 분야는 전년 동월 대비 8만3000명 줄었다.,취업자 수,83000.0,명,,월,DIFFERENCE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,,0,,[],[],,,,,,
저장결과결정적재생,A02633_10,A02633_10,"특히 50대는 작년까지는 계속해서 매달 취업자 수가 전년대비 증가했는데, 올해 들어 1월부터는 9개월 연속 전년대비 감소하는 모습을 보이고 있다.",취업자 수,50.0,대,2024,Y,DIFFERENCE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,CLAIM_SPLIT_UNAVAILABLE,,0,,[],[],,,,,,
저장결과결정적재생,A02638_3,claim_a7c0eee6078c7244,"17일 국가데이터처의 ‘9월 고용 동향’에 따르면, 지난달 20대 취업자는 343만5000명으로 지난해 9월(356만9000명)보다 13만4000명 줄었다.",취업자,134000.0,명,2025년 9월,MONTHLY,DIFFERENCE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,,0,,[],[],,,,,,
저장결과결정적재생,A02638_5,claim_482f0df9c9f2ebc4,20대 취업자 수는 2022년 11월(-4000명) 이후 2년 11개월 연속 줄어들고 있다.,취업자 수,-4000.0,명,2022년 11월,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,취업자 수,59,,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_EVIDENCE_COORDINATE_CANDIDATE)
저장결과결정적재생,A02656_27,claim_658a116c9cd93f9f,조사 시점을 기준으로 최근 3개월간 비거주 복지시설 운영업 취업자의 평균 임금은 125만원이다.,평균 임금,125.0,만원,조사 시점 기준 최근 3개월,3개월,DIRECT_VALUE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,RELATIVE_TIME_UNRESOLVED,,0,,[],[],,,,,,
저장결과결정적재생,A02343_4,A02343_4,산업 생산은 지난 4월(-0.8%) 이후 두 달 연속 마이너스다.,전산업생산,0.8,%,2025-04,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,전산업생산지수,1,,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
저장결과결정적재생,A02282_18,claim_fa0bb5df1f9daeb1,상대적으로 인구가 많은 1990년... 1월 출생아 11.6% 역대 최대폭 증가...'제2 에코붐' 90년대생 효과 올해 첫 달 출생아가 전년 동월 대비 11.6% 늘어나며 1월 기준 사상 최대 증가폭을 보였다.,출생아 수 증가율,11.6,%,2025년 1월,월,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,출생아 수,63,,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
