기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각,최신결과상태,최신결과단계,최신결과사유,최신개선판정,최신자식Claim번호,최신공식조회여부,최신공식통계표,최신공식좌표,최신공식값,최신계산값,최신판정,최신공표확인,최신공식값출처,최신결과출처,최신실행번호,최신기록시각,반영된결과수,남은작업,현재문제묶음,세부문제유형,세부문제설명,해결방법,처리우선순위,대표실행묶음
A00904,13,A00904_13,A00904_13,"수입 증가폭이 수출 증가폭을 상회하면서, 무역수지는 20조4600만달러 적자를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00904_13,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:49:50.124813+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_TIME_RECOVERY,검증 기간이 문장만으로 확정되지 않음,기사 작성일과 앞뒤 문장에서 기준 기간을 복구한 뒤 다시 진입,2,
A00904,2,A00904_2,A00904_2,"조업일수를 고려한 일평균 수출액도 12.3% 늘었지만, 수입이 더 큰 폭으로 늘어나며 무역수지 적자는 7억달러가량 확대된 것으로 파악됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00904_2,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:48:54.344138+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00904,6,A00904_6,A00904_6,이를 고려한 일평균 수출액은 12.3% 증가한 것으로 나타났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00904_6,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:49:34.852977+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_TIME_RECOVERY,검증 기간이 문장만으로 확정되지 않음,기사 작성일과 앞뒤 문장에서 기준 기간을 복구한 뒤 다시 진입,2,
A00904,7,A00904_7,A00904_7,"선박(55.2%)과 승용차(6.2%), 무선통신기기(16.5%) 등 수출이 늘었지만, 자동차부품(-7.6%)과 철강(-7.8%) 등 수출은 감소세를 보였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00904_7,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:49:35.371830+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00912,4,A00912_4,A00912_4,국내에서는 포드코리아 설립 직후인 1996년 2세대 모델을 시작으로 현재 6세대에 이르기까지 성장을 거듭하며 수입 대형 SUV 시장을 선도하고 있다.,,indicator=SOURCE | value=MISSING | unit=MISSING | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00912_4,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:49:59.011489+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00914,14,A00914_14,A00914_14,"GM이 7000만원이 넘는 쉐보레 콜로라도와 1억원 안팎인 GMC 시에라를 수입했지만, 고가 모델 위주로만 일부 수입되는 데 그쳐 대안이 되긴 어려웠다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00914_14,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:50:17.187019+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00914,16,A00914_16,A00914_16,한 자동차 업계 관계자는 “3000만원대 후반부터 시작하는 타스만은 최고급 모델에 옵션까지 더하면 6000만원 안팎 수준”이라며 “쉐보레 콜로라도 등 수입 픽업트럭에 관심을 갖던 소비자들까지 타스만이 흡수하는 현상이 감지된다”고 말했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00914_16,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:50:23.048955+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_RECORD_ASSERTION,직접 수치와 역대 최고·최저 주장이 한 문장에 섞임,직접 수치 주장과 기록 비교 주장을 분리한 뒤 각각 다시 진입,6,
A00917,4,A00917_4,A00917_4,"반면, 2월 전체 외식물가는 전년보다 3% 올라 소비자물가 상승률(2%)을 웃돌았다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00917_4,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:16:38.322328+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00922,20,A00922_20,A00922_20,건설업 취업자 감소는 전체 국내총생산(GDP)의 15%를 차지하고 있는 건설업이 휘청이고 있기 때문이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00922_20,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:02:44.784634+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_TIME_RECOVERY,검증 기간이 문장만으로 확정되지 않음,기사 작성일과 앞뒤 문장에서 기준 기간을 복구한 뒤 다시 진입,2,
A00922,33,A00922_33,A00922_33,한국경제인협회가 매출액 500대 기업을 대상으로 실시한 ’2... 중소기업 고령화 심화...직원 중 절반은 50세 이상 지난 10년간 중소기업의 고령화가 꾸준히 심화돼 직원 중 50세 이상 고령자 비율이 절반가량을 차지한다는 조사 결과가 나왔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00922_33,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:10:00.279300+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00922,9,A00922_9,A00922_9,청년 취업자는 355만7000명으로 1년 새 23만5000명 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,AUTO,WITHIN_TOLERANCE,RESOLVED,,,,DT_1DA7002S | DT_1DA9001S | DT_1DA7012S | DT_1DA7024S | DT_1DE9072 | DT_1DE9076_8 | DT_1DA7001S | DT_1DA7003S | DT_1DA7010S | DT_1DA7011S | DT_1DA7028S | DT_1ES3A03_A01S | DT_1DA7050S | DT_1DA7004S | DT_1DE7119 | DT_1DA7030S | DT_1DA7032S | DT_1DA7035S | DT_1DE7009S | DT_1LC0004 | DT_1LC0005 | DT_1LC0006 | INH_1DA7030S | INH_1ES3A02S_04 | DT_1DE7112_11 | DT_1DE9072_11 | DT_1ES3B27J | DT_1JTJ_A013 | DT_1LC0021 | DT_1LC0022 | DT_1SSHE020R | DT_1SSSP041R | DT_2019_152_1TM1051XC | DT_212006_2024G007 | DT_212006_2024G008 | DT_212006_2024K007 | DT_212006_2024K008 | DT_212006_2025C003 | DT_212006_2025E008 | DT_212006_2025E009 | DT_212006_2025G012 | DT_212006_2025H010 | DT_2OEEM2021 | DT_2OEEM3005 | DT_380002_A011_7TH | DT_380002_A0121_7TH | DT_380002_A0122_7TH | DT_380002_A026013_7TH | DT_380002_A033013_7TH | DT_380002_A05301_7TH | DT_380002_A05302_7TH | DT_380002_A053_7TH | DT_380002_A0793_7TH | DT_380002_A0794_7TH | DT_383003_C03013 | DT_383003_C03015 | DT_383003_C03044 | DT_383003_C03058 | DT_383003_C03063 | DT_383003_C03068 | DT_383003_C03077 | DT_38304_2013_N004 | DT_38304_2013_N006 | DT_38304_2013_N012 | DT_43701N_032 | DT_43701N_079 | DT_712005_2024C015 | DT_712005_2024D005 | DT_722002_C016 | DT_722002_D006 | DT_XNN0039 | INH_2OEEM2017 | DT_1YL20541 | DT_38304_2020_N030,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T30&prdSe=M&startPrdDe=202502&endPrdDe=202502&objL1=75,5,,,,AUTO,VERDICT,WITHIN_TOLERANCE,RESOLVED,claim_a53a99ef7f4c9e8e,예,DT_1DA7002S | DT_1DA9001S | DT_1DA7012S | DT_1DA7024S | DT_1DE9072 | DT_1DE9076_8 | DT_1DA7001S | DT_1DA7003S | DT_1DA7010S | DT_1DA7011S | DT_1DA7028S | DT_1ES3A03_A01S | DT_1DA7050S | DT_1DA7004S | DT_1DE7119 | DT_1DA7030S | DT_1DA7032S | DT_1DA7035S | DT_1DE7009S | DT_1LC0004 | DT_1LC0005 | DT_1LC0006 | INH_1DA7030S | INH_1ES3A02S_04 | DT_1DE7112_11 | DT_1DE9072_11 | DT_1ES3B27J | DT_1JTJ_A013 | DT_1LC0021 | DT_1LC0022 | DT_1SSHE020R | DT_1SSSP041R | DT_2019_152_1TM1051XC | DT_212006_2024G007 | DT_212006_2024G008 | DT_212006_2024K007 | DT_212006_2024K008 | DT_212006_2025C003 | DT_212006_2025E008 | DT_212006_2025E009 | DT_212006_2025G012 | DT_212006_2025H010 | DT_2OEEM2021 | DT_2OEEM3005 | DT_380002_A011_7TH | DT_380002_A0121_7TH | DT_380002_A0122_7TH | DT_380002_A026013_7TH | DT_380002_A033013_7TH | DT_380002_A05301_7TH | DT_380002_A05302_7TH | DT_380002_A053_7TH | DT_380002_A0793_7TH | DT_380002_A0794_7TH | DT_383003_C03013 | DT_383003_C03015 | DT_383003_C03044 | DT_383003_C03058 | DT_383003_C03063 | DT_383003_C03068 | DT_383003_C03077 | DT_38304_2013_N004 | DT_38304_2013_N006 | DT_38304_2013_N012 | DT_43701N_032 | DT_43701N_079 | DT_712005_2024C015 | DT_712005_2024D005 | DT_722002_C016 | DT_722002_D006 | DT_XNN0039 | INH_2OEEM2017 | DT_1YL20541 | DT_38304_2020_N030,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7002S|ITM=T30|OBJ=G|MEMBER=15 - 29세|PRD_SE=월|PRD_DE=2025-02"", ""dimension_codes"": {""G"": ""75""}, ""dimension_members"": {""G"": ""15 - 29세""}, ""itm_id"": ""T30"", ""member_code"": ""15 - 29세"", ""obj_id"": ""G"", ""org_id"": ""101"", ""prd_de"": ""2025-02"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7002S"", ""unit"": ""천명""}]",[3557.2],3557200.0,MATCH,확인,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T30&prdSe=M&startPrdDe=202502&endPrdDe=202502&objL1=75,clafact_final_completion_202608\multi_claim_employment_official_17_live_20260823\official_stage_results.csv,,2026-08-23T11:08:03.651174+00:00,5,완료,CONTEXT,DONE,최종 판정과 근거 기록이 완료됨,추가 실행 없이 회귀시험에서 결과만 보호,,
A00939,6,A00939_6,A00939_6,"회사는 이 밖에 오는 2027년까지 연평균 매출 성장률 8%를 달성하고, 수익성 중심으로 체질을 개선하겠다는 중장기 사업 방향도 공개했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00939_6,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:02:46.654210+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_GENERAL_REPARSE,Claim 구조화 결과가 공식 조회 단계로 넘어가지 못함,원문 수치와 12개 항목의 연결을 다시 검사하고 안전한 Claim만 재진입,18,CONTEXT_GENERAL_REPARSE-001
A00949,8,A00949_8,A00949_8,또 미·중 관세 전쟁이 미칠 영향에 대해선 최악의 경우 내년 우리 경제 성장률을 0.4%포인트 끌어내려 내년 성장률이 1.4%에 그칠 것으로 분석했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00949_8,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:02:46.750503+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00953,25,A00953_25,A00953_25,또 커피와 코코아를 수입할 때는 부가세 10%도 면세해준다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00953_25,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:50:27.464535+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_TIME_RECOVERY,검증 기간이 문장만으로 확정되지 않음,기사 작성일과 앞뒤 문장에서 기준 기간을 복구한 뒤 다시 진입,2,
A00958,10,A00958_10,A00958_10,"2월 확정치 64.7과 비교하면 6.8포인트(10.5%) 감소한 것이라, 앞으로 물가 상승으로 인한 소비 침체가 커질 수 있다는 뜻으로 해석됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00958_10,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:17:03.917413+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00959,7,A00959_7,A00959_7,"통상 국제 유가 변동은 2~3주 뒤 국내에 반영되는데, 지난주 수입 원유 가격 기준인 두바이유는 직전 주보다 0.1달러 내린 1배럴당 71.2달러였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00959_7,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:50:27.597541+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00970,19,A00970_19,A00970_19,"반도체(5.2%), 컴퓨터·주변기기(3.5%), 휴대폰(8.6%) 수입이 늘었고, 최근 국내 기업들의 AI 서버 및 GPU 투자 확대로 중대형 컴퓨터(3.3%)와 멀티미디어카드(41.6%) 수입도 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00970_19,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:50:40.296717+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_MULTI_NUMERIC,연도를 제외한 여러 수치 주장이 한 문장에 섞임,수치 역할을 구분해 자식 Claim으로 분리하고 12개 항목을 다시 작성,1,
A00970,2,A00970_2,A00970_2,그러나 우리나라 최대 수출품인 반도체 수출액은 1년 전보다 3% 감소한 것으로 나타났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,0,0,0,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,CONTEXT,,CLAIM_SPLIT~CLAIM_PARSE,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,CONTEXT_REQUIRED,UNCHANGED,,,,,,1,,,,HUMAN_REVIEW,,CONTEXT_REQUIRED,UNCHANGED,A00970_2,아니오,,,,,,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:50:28.695921+00:00,1,CONTEXT_REQUIRED,CONTEXT,CONTEXT_RECORD_ASSERTION,직접 수치와 역대 최고·최저 주장이 한 문장에 섞임,직접 수치 주장과 기록 비교 주장을 분리한 뒤 각각 다시 진입,6,
