claim_id,indicator,dimension,population,region,source_sentence,nearest_reject_count,nearest_reject_codes,nearest_table_ids,nearest_table_names
A02656_14,취업자 수,"{""raw"": ""{\""산업\"": [\""서비스업\""]}""}",,,상대적으로 부진했던 1월과 5월에도 전체 산업 취업자의 전년 대비 증가분 90%가량은 보건업 및 사회복지 서비스업이었다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE,DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA7010S|DT_1DA7011S|DT_38304_2013_N003|DT_38304_2013_N006|DT_1DA7012S|DT_1DA7024S|DT_1DA7028S|DT_1DA7029S|DT_2FB021F|DT_1DA7004S|DT_1DA7030S|DT_1DA7032S|DT_1DA7035S|DT_1DA7036S|DT_1DA7050S|INH_1DA7030S|DT_11827_A002|DT_118N_LCE0008|DT_118N_LCE309|DT_1C8016|DT_1DA7E06S_NEW|DT_1TS202022|DT_2019_152_1TM1051XC|DT_383003_C03013|DT_383003_C03015|DT_383003_C03044|DT_383003_C03058|DT_383003_C03063|DT_383003_C03068|DT_383003_C03077|DT_383005_G0022|DT_383005_G0023|DT_38304_2013_N004|DT_38304_2013_N012|DT_43701N_032|INH_2OEEM2017|DT_1DA7E33S_NEW|DT_1YL20541|DT_38304_2020_N030,"성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|종사상지위별 취업자|취업시간별 취업자|장애인 경제활동상태 - 장애정도별|장애인 경제활동상태 - 교육정도별|성/연령별 경제활동인구|성/연령별 취업자|성/종사상지위별 취업자|성/취업시간별 취업자|산업별 취업자(이민자, 11차)|행정구역(시도)별 경제활동인구|행정구역(시도)/성별 취업자|행정구역(시도)/교육정도별 취업자|행정구역(시도)/종사상지위별 취업자|행정구역(시도)/취업시간별 취업자|행정구역(시도)/성/연령별 취업자|취업자수(시도)|업종/고용허가제 구분별 사업장 수|고용형태별 사회보험가입률,상여금·퇴직(연)금 적용(가입)률,노조가입률|산업별 사회보험가입률,상여금·퇴직(연)금 적용(가입)률,노조가입률(표준산업분류 10차)|경기종합지수(2020=100) 구성지표 시계열 (10차)|산업별 취업자|성인 기혼여자의 취업여부별 평균시간|취업여부별 평균시간(15세이상) 상대표준오차|취업자의 지난주 취업시간|추가 취업 또는 전직 희망자의 추가 취업 또는 전직 가능 여부 및 구직 여부|무급가족종사자의 현 일자리 취업 과정|미취업자의 향후 취업 의사|취업 희망 미취업자의 구직활동 경험|장애인 고용 문제 해결을 위해 정부가 우선적으로 해야 할 정책(1순위)|취업을 위한 근로조건 수용 의향|당사자에게 필요한 장애 관련 서비스(1+2순위)|보호자 또는 가족에게 필요한 장애 관련 서비스(1+2순위)|장애인 경제활동상태 - 장애유형별|장애인 추가취업 희망자 규모|성별 고용률 비교|고용률|행정구역(시도)/산업별 취업자|취업자증감(시도)|장애인 경제활동상태 - 지역별(서울, 경기도, 광역시도, 기타 시도)"
A01164_6,제조업생산,"{""raw"": ""{\""품목\"": [\""자동차\""], \""산업\"": [\""제조업\"", \""서비스업\""]}""}",,,"전자부품(9.1%)과 전기장비(6%) 등 생산이 늘어나면서 제조업 생산이 0.8% 증가했고, 자동차 판매(9.5%) 등 도·소매업(6.5%)과 금융·보험(2.3%) 생산 증가에 힘입어 서비스업 생산도 전월 대비 0.5% 늘었다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|METADATA_INCOMPLETE,DT_1F32001|DT_1F02007|DT_1F02004|DT_1YL15009|DT_1F02003|DT_115012_A0031|DT_115036_A010|DT_115036_A011|DT_115036_A026|DT_115036_A027|DT_115036_A032|DT_115036_A065|DT_115036_A066|DT_115039_1_5|DT_115039_4_1_1|DT_115039_4_1_11|DT_115039_4_1_7|DT_1F02011|DT_1F02012|DT_1F02013|DT_1F02016|DT_1F02031|DT_1F32002|DT_1F48005|DT_1JH20201|DT_1JH20202|DT_200Y103|DT_200Y104|DT_2IFS031|DT_344N_1D8A_AA|DT_344N_1D8B_BB|DT_373001_B002|DT_404Y014|DT_404Y016|DT_405Y006|DT_512Y007|DT_512Y008|DT_512Y013|DT_512Y014|DT_512Y021|DT_D8001_C|TX_14503_A018|DT_1F02001|DT_512Y019|DT_512Y020,"제조업 생산능력 및 가동률지수(2020=100)|기업규모별 제조업생산지수(매출액 기준)(2020=100)|시도 공업구조별  제조업생산지수(2020=100)|제조업생산 증감률(시도)|시도 재별 제조업생산지수(2020=100)|소재부품장비산업별 생산통계지수|생산 실적|생산 전망|생산설비 실적|생산설비 전망|생산설비 가동률 실적|생산유형(제품, 서비스)|디지털 기술별 적용 업무 프로세스_빅데이터|디지털 기술별 적용 업무 프로세스_5G 기술|디지털 기술별 적용 업무 프로세스_RPA|기본분류 일부항목 제외 광공업생산지수(2020=100)|품목별 광공업 생산·출하·재고·내수·수출량|제조업 재고율|내수/수출 광공업출하지수(2020=100)|광역경제권/산업별지수(2020=100)|제조업 평균가동률|수요자/기종별 기계수주(불변금액)|전산업생산지수(원지수)|전산업생산지수(계절조정지수)|경제활동별 GDP 및 GNI(계절조정, 명목, 분기)|경제활동별 GDP 및 GNI(계절조정, 실질, 분기)|생산지수|노동생산성지수(산업생산기준)|노동생산성지수(부가가치기준)|기계산업별 생산·출하·재고지수|생산자물가지수(기본분류)|생산자물가지수(품목별)|국내공급물가지수|업종별 기업경기실사지수, 2009.8~(실적)|업종별 기업경기실사지수, 2009.9~(전망)|기업경기조사(실적)|기업경기조사(전망)|경영애로사항|제조부문 생산직 직종별 평균 조사노임(일급)|식품 및 식품첨가물 생산실적(도시락, 옹기류 제조업)|시도/산업별 광공업생산지수(2020=100)|지역별 기업경기조사(실적(2013.1~))|지역별 기업경기조사(전망(2013.2~))"
A01526_2,경제성장률,null,,경기,1분기 성장률이 -0.2%로 마이너스(-) 성장을 기록하는 등 경기 침체 그늘이 짙어졌기 때문이다.,1,FREQUENCY_CONFLICT|REGION_GRANULARITY_CONFLICT,DT_104Y016|DT_1SSLA030R|DT_200Y123|DT_200Y124,"예금은행 대출금(말잔)|여성취업에 대한 견해 (13세 이상 인구)|경제활동별 성장기여도(계절조정, 실질, 분기)|경제활동별 성장기여도(원계열, 실질, 분기 및 연간)"
A01528_6,경제성장률,null,,경기,"하지만 지난 1분기까지 4개 분기 연속 성장률이 0.1%를 밑돌자, 경기 부양에 추가 재정을 투입할 수 있다고 공식화한 것이다.",1,FREQUENCY_CONFLICT|REGION_GRANULARITY_CONFLICT,DT_104Y016|DT_1SSLA030R|DT_200Y123|DT_200Y124,"예금은행 대출금(말잔)|여성취업에 대한 견해 (13세 이상 인구)|경제활동별 성장기여도(계절조정, 실질, 분기)|경제활동별 성장기여도(원계열, 실질, 분기 및 연간)"
A00789_2,총인구,null,,경기,HMG그룹은 지난 1월 경기 용인시 처인구 역북동 신대지구 도시개발사업 공동주택 용지를 1813억원에 매입했다.,2,FREQUENCY_CONFLICT|REGION_GRANULARITY_CONFLICT|UNIT_CONFLICT,TX_117_2009_H5003|DT_1BPA401,"지역 및 기관별 신고접수율|시나리오별 추계인구(총인구, 인구구조, 성비 등) / 전국"
A00872_1,총인구,null,,인천,"인천시가 작년 1월 인구 300만명을 돌파한 이후 꾸준한 상승세를 보이며, 전국에서 가장 높은 인구 증가율을 기록했다.",1,FREQUENCY_CONFLICT,TX_117_2009_H5003,지역 및 기관별 신고접수율
A00872_2,총인구,null,,인천,9일 인천시에 따르면 지난달 기준 인천시 주민등록인구는 302만7854명으로 집계됐다.,1,FREQUENCY_CONFLICT,TX_117_2009_H5003,지역 및 기관별 신고접수율
A01124_24,총인구,null,,강원,"예컨대 작년 8월 강원도 인구 감소 지역의 체류 인구 가운데 29%는 관광 목적으로 방문한 4일 이하 ‘단기 숙박객’이었지만, 수도권은 이 비율이 6.5%에 그쳤다.",1,FREQUENCY_CONFLICT,TX_117_2009_H5003,지역 및 기관별 신고접수율
A01285_19,총인구,null,,,지난 1분기(1~3월) 월 평균 쉬었음 인구는 46만4000명으로 코로나 대유행이 시작된 2020년 2분기의 직전 최고치(46만1000명)을 고쳐썼다.,1,FREQUENCY_CONFLICT,TX_117_2009_H5003,지역 및 기관별 신고접수율
A01292_9,총인구,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,지난 1분기 청년층 가운데 취업이나 구직 활동을 하지 않고 그냥 시간을 보냈다는 ‘쉬었음’ 인구도 46만4000명으로 코로나가 본격적으로 퍼지던 2020년 2분기(46만1000명)를 넘어 역대 최고치를 고쳐 썼다.,1,FREQUENCY_CONFLICT,DT_1BPA003|DT_1DE9045S|DT_1DE9046S|DT_1DE9051S|DT_1DE9055S|DT_1DE9056S|DT_1DE9072_11|DT_1DE9076_8|DT_1YL20642|DT_1YL20643,"주요 연령계층별 추계인구(생산연령인구, 고령인구 등) / 전국|연령별 수학여부|연령별 경제활동상태|성별 직장체험유무 및 기간|성별 취업시험준비유무 및 준비분야(비경제활동인구)|성별 취업경험유무 및 횟수(졸업/중퇴 인구)|졸업/중퇴 취업자의 산업별 취업분포(11차)|졸업/중퇴 취업자의 직업별 취업분포(8차)|청년순이동률(시도/시/군/구)|인구총조사 청년인구비율(시도/시/군/구)"
A01359_7,총인구,"{""raw"": ""{\""연령\"": \""25~34세\""}""}",,,"지난 1분기 25~34세 인구는 697만6000명으로, 작년 1분기(697만7000명)와 비슷했다.",1,FREQUENCY_CONFLICT,DT_2OEEM3005,"연령별, 성별 고용 및 실업(수준)"
A01464_3,총인구,null,,,"통계청이 23일 발표한 ‘2월 인구 동향’에 따르면, 지난 2월 혼인 건수는 1만9370건으로 집계됐다.",1,FREQUENCY_CONFLICT,TX_117_2009_H5003|DT_1BPA401,"지역 및 기관별 신고접수율|시나리오별 추계인구(총인구, 인구구조, 성비 등) / 전국"
A01478_3,총인구,null,,,"통계청이 23일 발표한 ‘2월 인구 동향’에 따르면, 지난 2월 혼인 건수는 1만9370건으로 지난해 같은 달(1만6948건)보다 14.3% 증가했다.",1,FREQUENCY_CONFLICT,TX_117_2009_H5003|DT_1BPA401,"지역 및 기관별 신고접수율|시나리오별 추계인구(총인구, 인구구조, 성비 등) / 전국"
A01927_6,총인구,null,,,"28일 통계청이 발표한 ‘3월 인구 동향’에 따르면, 지난 1분기(1~3월) 합계출산율은 0.82명으로 1년 전(0.77명)보다 0.05명 증가했다.",1,FREQUENCY_CONFLICT,TX_117_2009_H5003|DT_1BPA401,"지역 및 기관별 신고접수율|시나리오별 추계인구(총인구, 인구구조, 성비 등) / 전국"
A00308_6,수출액,null,,,그나마 수출이 잘됐던 작년 1분기(1.3%) 덕에 2% 턱걸이를 했다.,1,FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_1R11001_FRM101|DT_1R11006_FRM101|DT_114061_033|DT_1F02011|DT_1F02012|DT_2KAA806|DT_403Y001|DT_403Y002|DT_B10066|DT_402Y014|DT_1TEC_P227|DT_1TEC_P229|DT_1TEC_P322|DT_1YL6901|DT_115037_001|DT_115037_002|DT_134006_N008|DT_14217M_259|DT_175001_041|DT_2ATT015|DT_2ATT019|DT_2ATT021|DT_2KAA807|DT_2KAA808|DT_403Y003|DT_C_XNS0075|DT_C_XNS0076|DT_C_XNS0077|DT_C_XNS0078|DT_C_XNS0079|DT_XNN0119|DT_XNN0121|DT_XNS0119|DT_XNS0121|DT_B10062|DT_1F02003,"품목별 수출액, 수입액|국가별 수출액, 수입액|수출여부 및 수출액|기본분류 일부항목 제외 광공업생산지수(2020=100)|품목별 광공업 생산·출하·재고·내수·수출량|무역의존도(GDP 대비 수출입 비율)|수출금액지수|수출물량지수|대륙별·국가별 중소기업 수출|수출물가지수(기본분류)|기업규모별 주요국가별 수출입|기업규모별 재화성질별 수출입|산업별(KSIC11차) 재화특성별 수출입|수출액(시도)|대륙별·국가별 중견기업 수출|품목별 중견기업 수출|교역국가수별 수입·수출현황|신규 진출 국가 여부|수출현황|비(卑) 금속과 그 제품|무기·총포탄과 이들의 부분품과 부속품|예술품, 수집품, 골동품|수출·수입 물량지수|수출·수입 단가지수|수입금액지수|동물성·식물성 지방과 기름 및 이들의 분해생산물, 조제한 식용 지방과 동물성·식물성 납 - 남부·동남아시아|조제 식료품, 음료·주류·식초, 담배·제조한 담배 대용물 - 남부·동남아시아|광물성 생산품 - 남부·동남아시아|화학공업이나 연관공업의 생산품 - 남부·동남아시아|플라스틱과 그 제품, 고무와 그 제품 - 남부·동남아시아|수출·수입 - 동북·중앙아시아|무역의존도(GDP 대비 수출입 비율) - 동북·중앙아시아|수출·수입 - 남부·동남아시아|무역의존도(GDP 대비 수출입 비율) - 남부·동남아시아|지역별 중소기업 수출|시도 재별 제조업생산지수(2020=100)"
A01480_17,수출액,null,,,순수출 성장 기여도는 올해 1분기 0.3%포인트로 집계됐다.,1,FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_1R11001_FRM101|DT_1R11006_FRM101|DT_1F02011|DT_1F02012|DT_403Y001|DT_403Y002|DT_B10066|DT_402Y014|DT_1TEC_P227|DT_1TEC_P229|DT_1TEC_P322|DT_1YL6901|DT_115037_001|DT_115037_002|DT_403Y003|DT_B10062|DT_1F02003,"품목별 수출액, 수입액|국가별 수출액, 수입액|기본분류 일부항목 제외 광공업생산지수(2020=100)|품목별 광공업 생산·출하·재고·내수·수출량|수출금액지수|수출물량지수|대륙별·국가별 중소기업 수출|수출물가지수(기본분류)|기업규모별 주요국가별 수출입|기업규모별 재화성질별 수출입|산업별(KSIC11차) 재화특성별 수출입|수출액(시도)|대륙별·국가별 중견기업 수출|품목별 중견기업 수출|수입금액지수|지역별 중소기업 수출|시도 재별 제조업생산지수(2020=100)"
A02704_4,수출액,null,,,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",1,FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_1R11001_FRM101|DT_1R11006_FRM101|DT_1F02011|DT_1F02012|DT_403Y001|DT_403Y002|DT_B10066|DT_402Y014|DT_1TEC_P227|DT_1TEC_P229|DT_1TEC_P322|DT_1YL6901|DT_115037_001|DT_115037_002|DT_403Y003|DT_B10062|DT_1F02003,"품목별 수출액, 수입액|국가별 수출액, 수입액|기본분류 일부항목 제외 광공업생산지수(2020=100)|품목별 광공업 생산·출하·재고·내수·수출량|수출금액지수|수출물량지수|대륙별·국가별 중소기업 수출|수출물가지수(기본분류)|기업규모별 주요국가별 수출입|기업규모별 재화성질별 수출입|산업별(KSIC11차) 재화특성별 수출입|수출액(시도)|대륙별·국가별 중견기업 수출|품목별 중견기업 수출|수입금액지수|지역별 중소기업 수출|시도 재별 제조업생산지수(2020=100)"
