Claim번호,기사번호,문장번호,기사일,원문,원래시점,복구시점,개선전상태,개선후상태,복구판정,복구사유
A01902_18,A01902,18,2025-05-27,"◇6명 중 1명은 사실상 백수 내수 부진과 수출 둔화 등으로 청년 취업난이 장기화하는 가운데, 이 같은 트렌드 변화까지 맞물리면서 청년 실업률 지표는 날로 악화하고 있다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01902_20,A01902,20,2025-05-27,"취업준비생, 아르바이트를 하며 더 나은 직장을 알아보는 ‘추가 취업 가능자’, 구직 활동도 하지 않고 그냥 시간을 보낸 ‘쉬었음’ 등까지 감안한 ‘확장실업률’은 16.8%에 달한다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01903_10,A01903,10,2025-05-27,이 비율은 70세 재취업자의 경우 59.6%까지 증가했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02096_12,A02096,12,2025-06-11,"반면 15~29세 청년층은 취업자가 1년새 15만명 줄었고, 50대와 40대도 각각 취업자가 6만8000명, 3만9000명 감소했다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02096_17,A02096,17,2025-06-11,실업률은 2.8%로 집계됐다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02111_1,A02111,1,2025-06-12,법적 정년을 넘긴 60세 이상 고령층 취업자가 사상 처음으로 700만명을 넘었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02111_5,A02111,5,2025-06-12,"15~29세 청년층과 50대 취업자가 각각 15만명, 6만8000명 줄었지만, 60세 이상 취업자가 37만명이나 불어난 영향이 컸다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02111_14,A02111,14,2025-06-12,"정년을 막 넘긴 60~64세의 경우 경제활동참가율과 고용률이 각각 68.4%, 66.5%에 달한다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02111_15,A02111,15,2025-06-12,"◇65세 이상 근로자 61%가 비정규직… 고용의 질 낮아 일하는 고령층이 늘고 있지만, 고용의 질은 낮은 편이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02111_26,A02111,26,2025-06-12,하지만 사회 초년생인 청년층 고용률은 46.2%로 1년 전보다 0.7%포인트 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02184_16,A02184,16,2025-06-17,"40대에서도 고졸 실업률은 3.3%, 대졸은 1.6%에 불과했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02184_17,A02184,17,2025-06-17,"50대도 고졸 실업률이 2%, 대졸이 1.5%로 마찬가지였다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02569_3,A02569,3,2025-07-17,내수 부진 여파로 숙박·음식점업 취업자 수도 두 달 연속 줄어 사회 초년생인 20대 청년들의 취업문이 좀처럼 열리지 않고 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02569_5,A02569,5,2025-07-17,보건업·사회복지서비스업 분야 취업자가 21만명 넘게 증가한 영향이 컸다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02569_34,A02569,34,2025-07-17,기업데이터연구소 CEO스코어는 16일 매출액 기준 국내 100... 제조업 취업자 1년째 내리막에...'쉬었음' 20대 5년 만 최대 제조업 취업자 수가 1년째 내리막을 이어가고 있는 것으로 파악됐다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02624_15,A02624,15,2025-10-12,같은 달 20대 실업률은 5.0%를 기록했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02632_2,A02632,2,2025-10-17,취업자 수 증가 폭이 30만명대를 기록한 것은 1년 7개월 만이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02633_3,A02633,3,2025-10-17,30대와 60세 이상을 제외한 모든 연령대에서 취업자가 줄어 고용시장의 양극화가 극심해지는 모습이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02633_7,A02633,7,2025-10-17,반면 청년(15~29세) 취업자는 14만6200명 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02633_9,A02633,9,2025-10-17,"40대와 50대 취업자도 각각 4만5200명, 1만1000명 줄었다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02633_11,A02633,11,2025-10-17,"이에 대해 국가데이터처 관계자는 “50대 인구가 줄어드는 효과도 있지만, 그 보다는 50대 취업자가 많은 건설업 등에서의 부진이 이어지면서 취업자에 부정적 영향을 준 측면이 있다”고 말했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02633_15,A02633,15,2025-10-17,상용직 취업자는 34만400명 늘어 증가세를 주도했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02633_44,A02633,44,2025-10-17,"실업률은 2.1%로 낮지만, 일자리를 찾는 실업자는 여전히 많다는 의미다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02638_2,A02638,2,2025-10-18,20대 취업자 수는 물론 인구 대비 취업자 수를 나타내는 고용률도 감소세가 길어지고 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02638_6,A02638,6,2025-10-18,저출산에 따른 인구 감소 요인을 뺀 고용률을 봐도 20대 취업난은 악화하고 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02639_8,A02639,8,2025-10-19,건설업 취업자도 8만4000명 줄면서 17개월째 마이너스다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02647_10,A02647,10,2025-10-22,"연령별로는 60세 이상 비정규직 근로자가 35.5%로 가장 많았으며, 이어 50대(19.1%), 29세 이하(18.0%) 순이었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02647_12,A02647,12,2025-10-22,"60세 이상 임금근로자 중 비정규직 비율은 69.9%로, 10명 중 7명이 비정규직인 것으로 나타났다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02647_20,A02647,20,2025-10-22,"정규직 근로자는 389만 6000원으로 10만원 증가했으며, 비정규직 근로자는 208만8000원으로 4만원 증가했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02647_21,A02647,21,2025-10-22,시간제 근로자를 제외할 경우 비정규직의 월평균 임금은 303만7000원으로 8만 원 늘었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02650_32,A02650,32,2025-10-23,관련 기사 한국서 희망 못 찾는 20대… 취업자 2년 11개월째 감소 청년 취업난이 심각한 것으로 나타났다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02650_33,A02650,33,2025-10-23,20대 취업자 수는 물론 인구 대비 취업자 수를 나타내는 고용률도 감소세가 길어지고 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02656_19,A02656,19,2025-10-27,"이 조사에 따르면 보건업 및 사회복지 서비스업 취업자는 302만7000명이었는데, 이 중 절반 이상인 159만4000명이 비거주 복지시설 운영업 취업자였다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02656_30,A02656,30,2025-10-27,병원 취업자의 3개월 평균 임금은 384만원으로 비거주 복지시설 운영업의 3배 이상이었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02680_10,A02680,10,2025-11-04,"오후 5시 ‘칼퇴(정시 퇴근)’하고, 밤 8... 더 벌어졌다… 정규·비정규직 월급차 역대 최대 180만원 이른바 ‘N잡(2개 이상의 직업을 갖는 것)’에 뛰어드는 직장인이 늘어나는 데는 정규직과 비정규직 간 임금 격차 확대 등 ‘노동시장 양극화’가 ... 다 비싸졌다… 월세 상승률 10년래 최고, 물가도 껑충 월세, 외식 물가 등이 크게 올라 생활비 부담이 커지는 것은 비정규직 근로자 등 서민의 생활고를 가중시키는 요인으로 꼽힌다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02689_8,A02689,8,2025-11-05,전체 취업자 중 비임금 근로자가 차지하는 비율(22.6%)도 역대 최저였다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02690_1,A02690,1,2025-11-05,취업자도 실업자도 아닌 비경제활동인구 가운데 중대한 질병이나 장애는 없지만 “그냥 쉰다”고 답한 인구가 1년 새 7만명 넘게 늘어난 것으로 나타났다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02693_2,A02693,2,2025-11-06,"양질의 일자리가 부족해 일하지도 구직 활동도 하지 않는 20대 ‘쉬었음’ 청년이 늘고, 이들이 실업률을 계산하는 경제활동인구에서 아예 빠지면서 역설적으로 실업률이 하락했다는 것이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02696_33,A02696,33,2025-11-07,실업률은 1%로 가장 낮다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00440_5,A00440,5,2025-02-03,"제조업을 포함한 광공업 생산이 4.1% 늘었고, 서비스업 생산이 1.4% 증가했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00816_7,A00816,7,2025-03-04,제조업이 2.4% 줄어드는 등 광공업 생산이 2.3% 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00828_6,A00828,6,2025-03-05,제조업이 전달보다 2.4% 줄어드는 등 광공업 생산이 2.3% 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02357_5,A02357,5,2025-07-01,4월에 0.6% 줄었던 제조업 생산이 5월에는 3%나 감소한 영향이 컸다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02416_32,A02416,32,2025-07-05,"1차 추경이 집행되기 시작한 5월 산업 생산은 1.1%, 설비 투자는 4.7% 감소했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02450_28,A02450,28,2025-07-08,"셋째, 국내 산업생산이 1% 상승할 때 물가는 0.8%포인트 올랐다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00208_6,A00208,6,2025-01-16,이는 1인당 GDP 성장률을 연평균 0.4%씩 갉아먹는다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00212_32,A00212,32,2025-01-17,"이 총재는 통화 정책 외에 재정 정책의 필요성에 대해서는 “추경 시기는 빠를수록 좋고, 15조~20조원 정도가 성장률이 떨어진 정도를 완화할 수 있다고 본다”고 했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00308_9,A00308,9,2025-01-24,GDP 성장률과 잠재성장률 하락을 근거로 ‘한국의 경쟁력이 정점을 찍고 내리막길에 들어섰다’는 이른바 ‘피크 코리아(Peak Korea)’ 주장에 동의하느냐는 질문에 응답자 3명 중 2명꼴로 고개를 끄덕였다.,,,HUMAN_REVIEW,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00308_11,A00308,11,2025-01-24,"설문 결과, 응답자 절반이 한국 경제의 잠재성장률을 2% 미만으로 봤다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00308_31,A00308,31,2025-01-24,김태유 서울대 명예교수는 “지난 30년간 대통령 임기마다 한국 경제성장률이 1%포인트씩 대세 하락해 왔다”며 “새로운 성장 동력을 찾는 노력이 절실하다”고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00735_21,A00735,21,2025-02-26,한은에 따르면 금리를 0.25%포인트 내리면 성장률을 0.07%포인트 끌어올리는 효과가 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00753_32,A00753,32,2025-02-27,"노동생산성은 1인당 국내총생산(GDP)을 총노동시간으로 나눈 값으로, 노동자 1명이 1시간 동안 국부의 증가에 얼마나 기여했는지를 보여준다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00796_9,A00796,9,2025-03-03,통상 성장률이 2개 분기 연속 마이너스(-)를 나타낼 경우 경기 침체 상황으로 판단한다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00895_19,A00895,19,2025-03-10,"헤리티지재단은 “한국의 소득세 및 법인세 최고세율은 각각 49.5%, 27.5%로, 국민부담률(GDP 대비 조세‧사회보장기여금 비중)도 28.9%에 달한다”고 지적했다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A00922_20,A00922,20,2025-03-12,건설업 취업자 감소는 전체 국내총생산(GDP)의 15%를 차지하고 있는 건설업이 휘청이고 있기 때문이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00949_8,A00949,8,2025-03-14,또 미·중 관세 전쟁이 미칠 영향에 대해선 최악의 경우 내년 우리 경제 성장률을 0.4%포인트 끌어내려 내년 성장률이 1.4%에 그칠 것으로 분석했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01180_4,A01180,4,2025-04-01,우리 GDP(국내총생산) 성장률 2% 중 90%를 웃도는 1.9%포인트를 수출이 만들어낸 상황에서 한국 경제 성장의 6분의 1쯤을 책임졌던 대미 수출이 직격탄을 맞는 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01278_9,A01278,9,2025-04-09,통합 재정 수지에서 국민연금·고용보험 등 4대 사회 보장성 기금의 흑자를 빼내 실질적인 나라 살림을 보여주는 관리 재정 수지는 104조8000억원 적자로 GDP의 4.1%에 달했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01333_10,A01333,10,2025-04-13,"신한카자흐스탄은행의 손익은 1031억원으로, 최근 2년 동안 연 평균 성장률이 231%였다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01384_7,A01384,7,2025-04-17,정부가 예산을 1원 더 쓰면 국내총생산(GDP)이 0.4~0.5원 늘어난다는 뜻이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01401_15,A01401,15,2025-04-18,"국내총생산(GDP) 대비 국가채무비율은 48.1%에서 48.4%로, GDP 대비 재정수지(국민연금 등 사회보장성 기금 흑자분을 제외한 관리재정수지 기준) 적자 비율은 2.8%에서 3.2%로 각각 악화된다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A01402_7,A01402,7,2025-04-18,1인당 국민총생산(GDP)이 65달러밖에 안 될 때다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01438_1,A01438,1,2025-04-21,한국의 성장률이 사상 처음으로 4개 분기 연속으로 0.1% 이하의 ‘제로(0) 성장’을 기록할 것이라는 우려가 커지고 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01438_3,A01438,3,2025-04-21,성장률이 4개 분기 연속으로 0.1% 이하를 기록한 것은 과거 대형 경제 위기 때도 없던 일이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01480_1,A01480,1,2025-04-24,한국의 성장률이 사상 처음으로 4개 분기 연속으로 0.1% 밑으로 떨어진 ‘저성장 쇼크’가 현실로 나타났다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01480_3,A01480,3,2025-04-24,성장률이 4개 분기 연속으로 0.1% 이하를 기록한 것은 과거 대형 경제 위기 때도 없었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01539_9,A01539,9,2025-04-29,한국 경제의 기초 체력이 떨어진 것을 반영해 지난 6개월 동안 달러화에 대한 원화 환율은 125원(9.4%) 올라 달러화로 표시되는 GDP 자체를 갉아먹었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01539_11,A01539,11,2025-04-29,"한국이 1인당 GDP 2만달러로 진입할 때는 반도체, 3만달러로 진입할 때는 자동차·화학·정유라는 버팀목이 든든했다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A01539_18,A01539,18,2025-04-29,한국 경제는 1인당 GDP 2만달러에서 3만달러까지 연평균 4% 가까운 성장을 거듭해 9년 만에 달성했다.,,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A01673_10,A01673,10,2025-05-09,비관적 시나리오만 놓고 비교하면 성장률이 0% 이하로 떨어지는 시기가 9년가량 앞당겨진 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01723_11,A01723,11,2025-05-13,최근 20년간 한국의 잠재성장률 하락 속도는 2.29%포인트(4.27%→1.98%)로 주요 선진국 중 가장 빠르다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01733_13,A01733,13,2025-05-14,KDI는 “대내외 수요 둔화로 초래될 수 있는 물가 하방 압력을 축소하기 위해 통화정책은 보다 완화적인 기조로 운용하는 것이 바람직하다”며 “재정정책은 큰 폭의 관리재정수지 적자(GDP 대비 3.3%)를 감안하면 이미 어느 정도 완화적 기조라 정부 지출 추가 확대는 신중히 접근해야 한다”고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01747_2,A01747,2,2025-05-15,0%대 성장률은 위기 때나 나타났다는 점에서 경고 수위가 높아진 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01762_5,A01762,5,2025-05-16,"예금 보호 한도가 지금은 1인당 GDP와 같은 수준인데, 1억원으로 늘어나면 2배가 되는 것이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01770_6,A01770,6,2025-05-17,"수출은 전기 대비 0.6% 감소하고, 수입은 2.9% 급증해 전체 성장률을 끌어내렸다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01931_7,A01931,7,2025-05-29,"철강·알루미늄 산업의 경우 GDP재화수출이 0.3%, 대미 수출이 1.4% 줄어들 것으로 봤다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01932_28,A01932,28,2025-05-29,"“불과 10년 전만 하더라도 경제성장률 3% 달성이 이슈였는데, 지금은 2% 달성이 쉽지 않다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
