실행번호,Claim번호,대표문제,개선전상태,개선전단계,개선전사유,개선후상태,개선후단계,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식근거확인,공식통계표,공식값출처,코드버전,데이터버전,기록시각
context-013-safe-readmission-final,A00029_3,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,,,CONTEXT_REVIEW,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00030_14,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,RECLASSIFIED,CLAIM_PARSE,PRE_VERIFICATION_RECLASSIFIED,RECLASSIFIED,ALL_RECLASSIFIED,EXPLICIT_FORECAST_OR_POLICY_MARKER,PRE_VERIFICATION_EXCLUDE,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00041_5,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,PARTIAL_CHILD_ADMISSION,UNCHANGED,,,CONTEXT_REVIEW,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00041_7,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,RECLASSIFIED,CLAIM_PARSE,PRE_VERIFICATION_RECLASSIFIED,RECLASSIFIED,ALL_RECLASSIFIED,EXPLICIT_FORECAST_OR_POLICY_MARKER,PRE_VERIFICATION_EXCLUDE,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00049_8,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,PASS,CLAIM_PARSE,KOSIS_PIPELINE_ELIGIBLE,IMPROVED,,,OFFICIAL_SEARCH,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00067_2,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,PASS,CLAIM_PARSE,KOSIS_PIPELINE_ELIGIBLE,IMPROVED,,,OFFICIAL_SEARCH,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00070_19,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,,,CONTEXT_REVIEW,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00070_5,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,PASS,CLAIM_PARSE,KOSIS_PIPELINE_ELIGIBLE,IMPROVED,,,OFFICIAL_SEARCH,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00070_6,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,,,CONTEXT_REVIEW,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
context-013-safe-readmission-final,A00076_1,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,,,CONTEXT_REVIEW,아니오,,,safe-readmission-v5,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T03:59:59.244477+00:00
