부모Claim번호,자식Claim번호,재입장경로,12개항목완성,남은문제,지표,지표상태,수치,수치상태,단위,단위상태,시점,시점상태,주기,주기상태,지역,지역상태,대상,대상상태,차원,차원상태,비교,비교상태,계산,계산상태,조건,조건상태,작성기관힌트,작성기관힌트상태
A00023_6,claim_b27f85499761db2b,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,소비자 물가 상승률,SOURCE,1.8,SOURCE,%,SOURCE,,MISSING,연간,SOURCE,한국,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""operator"": ""LT"", ""reference_unit"": ""%"", ""reference_value"": ""2"", ""type"": ""THRESHOLD_COMPARISON""}",SOURCE,DIRECT_VALUE,SOURCE,"{""operator"": ""LT"", ""threshold_unit"": ""%"", ""threshold_value"": ""2""}",SOURCE,정부 전망; 한국은행 물가 안정 목표치와 비교,SOURCE
A00029_14,A00029_14,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:value,unit",수출,SOURCE,,MISSING,,MISSING,2023년,SOURCE,연간,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""reference_period"": ""2023년"", ""trend"": ""성장세 둔화""}",SOURCE,HOLD,SOURCE,"{""direction"": ""DECREASE""}",SOURCE,,NOT_APPLICABLE
A00029_16,A00029_16,CONTEXT_REQUIRED,예,,KG모빌리티 수출량,SOURCE,62378.0,SOURCE,대,SOURCE,2024,SOURCE,연간,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""기업"": ""KG모빌리티"", ""품목"": ""차량""}",SOURCE,"{""rate"": ""18.2"", ""rate_unit"": ""%"", ""reference_period"": ""2023"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,DIRECT_VALUE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,기사 본문 및 2025-01-03 게재일 기준 같은 기간,SOURCE
A00029_17,claim_f57536c85653606d,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,수출 순위,SOURCE,1.0,SOURCE,위,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,자동차 수출업체,SOURCE,"{""item"": ""현대차""}",SOURCE,,NOT_APPLICABLE,RANK,SOURCE,"{""order"": ""DESC"", ""population_scope"": ""자동차 수출업체"", ""rank_value"": ""1""}",SOURCE,,NOT_APPLICABLE
A00029_17,claim_9be59f90d1944b8b,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:time,comparison",현대차 판매,SOURCE,-0.5,SOURCE,퍼센트,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""범위"": ""수출"", ""판매대상"": ""현대차""}",SOURCE,,MISSING,GROWTH_RATE,SOURCE,"{""direction"": ""DECREASE""}",SOURCE,기사 원문,SOURCE
A00029_17,claim_532b19ebdc018bba,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,르노코리아 판매 감소율,SOURCE,18.4,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""제조사"": ""르노코리아""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,"{""direction"": ""DECREASE""}",SOURCE,target_numeric_expression: 18.4%,SOURCE
A00029_3,A00029_3,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:time,calculation",내수 판매,SOURCE,6.0,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE
A00030_14,A00030_14,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,무역금융 공급액,SOURCE,360.0,SOURCE,조원,SOURCE,,MISSING,,NOT_APPLICABLE,대한민국,SOURCE,수출 기업,SOURCE,"{""역대 최대 규모"": ""true""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE
A00041_5,claim_762f362ef56e7449,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,품목 수,SOURCE,175.0,SOURCE,개,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,물가 품목,SOURCE,"{""item"": ""물가 품목""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE
A00041_5,claim_b02dc8c186e9d718,KOSIS_PIPELINE_ELIGIBLE,예,,평균 물가 상승률,SOURCE,3.9,SOURCE,%,SOURCE,2024,SOURCE,ANNUAL,SOURCE,대한민국,SOURCE,175개 품목,SOURCE,"{""item_count"": ""175""}",SOURCE,"{""reference_indicator"": ""연간 소비자물가지수 상승률"", ""reference_period"": ""2024"", ""reference_unit"": ""%"", ""reference_value"": ""2.3"", ""type"": ""ABOVE""}",SOURCE,DIRECT_VALUE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,,NOT_APPLICABLE
A00041_5,claim_879a9aec25311de1,KOSIS_PIPELINE_ELIGIBLE,예,,연간 소비자물가지수 상승폭,SOURCE,2.3,SOURCE,%,SOURCE,지난해,SOURCE,annual,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,기사 본문,SOURCE
A00041_7,A00041_7,CONTEXT_REQUIRED,예,,소비자물가 상승률,SOURCE,2.0,SOURCE,%,SOURCE,2025년 1월,SOURCE,MONTHLY,SOURCE,한국,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,기사 제목의 전망,SOURCE
A00049_8,claim_fd637f342e9da4dc,KOSIS_PIPELINE_ELIGIBLE,예,,해외 건설 누적 수주액,SOURCE,1000000000000.0,SOURCE,미국 달러,SOURCE,2025-01-03,SOURCE,누적,SOURCE,해외,SOURCE,우리 기업,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,THRESHOLD,SOURCE,"{""operator"": ""GT"", ""threshold_unit"": ""미국 달러"", ""threshold_value"": ""1000000000000""}",SOURCE,국토교통부,SOURCE
A00049_8,claim_ea514e427385861f,KOSIS_PIPELINE_ELIGIBLE,예,,해외 건설 누적 수주액,SOURCE,1470.0,SOURCE,조원,SOURCE,2025-01-03,SOURCE,,NOT_APPLICABLE,해외,SOURCE,우리 기업,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,THRESHOLD,SOURCE,"{""operator"": ""GT"", ""threshold_unit"": ""조원"", ""threshold_value"": ""1470""}",SOURCE,국토교통부,SOURCE
A00067_2,A00067_2,KOSIS_PIPELINE_ELIGIBLE,예,,수입 승용차 브랜드 판매 순위,SOURCE,1.0,SOURCE,위,SOURCE,2024,SOURCE,연간,SOURCE,대한민국,SOURCE,수입 승용차 브랜드,SOURCE,"{""brand"": ""BMW""}",SOURCE,"{""reference_period"": ""2023"", ""reference_rank"": ""1""}",SOURCE,RANK,SOURCE,"{""direction"": ""DECREASE"", ""order"": ""DESC"", ""population_scope"": ""수입 승용차 브랜드"", ""rank_value"": ""1""}",SOURCE,한국수입자동차협회(KAIDA),SOURCE
A00070_19,claim_a2f6b07109407ca6,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,반도체 수출에서 중국·홍콩이 차지하는 비율,SOURCE,9.0,SOURCE,%p,SOURCE,,MISSING,,NOT_APPLICABLE,대한민국,SOURCE,,NOT_APPLICABLE,"{""수출 대상"": ""중국·홍콩"", ""품목"": ""반도체""}",SOURCE,"{""change_type"": ""감소"", ""direction"": ""DECREASE""}",SOURCE,DIFFERENCE,SOURCE,"{""direction"": ""DECREASE"", ""operator"": ""GTE"", ""threshold_unit"": ""%p"", ""threshold_value"": ""9""}",SOURCE,기사 본문; 기준 시점은 원문에 명시되지 않음,SOURCE
A00070_19,claim_1f9fe26d9809dc42,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:time,comparison",우리나라 수출에서 반도체가 차지하는 비중,SOURCE,20.0,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,우리나라,SOURCE,우리나라 수출,SOURCE,"{""품목"": ""반도체""}",SOURCE,,MISSING,SHARE,SOURCE,,NOT_APPLICABLE,기사 원문; target_numeric_expression=20%,SOURCE
A00070_5,claim_1b85a4c93a631e8c,KOSIS_PIPELINE_ELIGIBLE,예,,대미 수출액,SOURCE,127791000000.0,SOURCE,달러,SOURCE,2024년,SOURCE,연간,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""무역상대국"": ""미국""}",SOURCE,"{""rate"": ""10.45%"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,DIRECT_VALUE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,,NOT_APPLICABLE
A00070_5,claim_74c6ddedc870559f,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,수출액,SOURCE,10.45,SOURCE,%,SOURCE,,MISSING,연간,SOURCE,미국,SOURCE,,NOT_APPLICABLE,"{""무역상대국"": ""미국""}",SOURCE,"{""reference_period"": ""1년 전"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,,NOT_APPLICABLE
A00070_6,A00070_6,CONTEXT_REQUIRED,아니오,MISSING_REQUIRED_SLOTS:condition,수출액,SOURCE,52.35,SOURCE,억 달러,SOURCE,2024,SOURCE,연간,SOURCE,대한민국,SOURCE,,NOT_APPLICABLE,"{""비교 대상국"": ""미국"", ""수출 대상국"": ""중국""}",SOURCE,"{""current_value"": ""1330.26"", ""operand_unit"": ""억 달러"", ""reference_period"": ""2024"", ""reference_value"": ""1277.91"", ""type"": ""DIFFERENCE""}",SOURCE,DIFFERENCE,SOURCE,,MISSING,한국무역협회,SOURCE
A00076_1,A00076_1,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:time,comparison",수출,SOURCE,20.0,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,대한민국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""반도체""}",SOURCE,,MISSING,SHARE,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE
