Claim번호,검증집합,원문,기존실패사유,검색지표,측정종류,기사값,단위,기준시점,주기,지역,대상집단,차원조건JSON,검색어JSON,명세준비상태,명세차단사유,파생Claim수,통계개념연결상태,공식통계표검색상태,KOSIS구조정보상태,필수조건검사상태,후보의미비교상태,근거좌표확정상태,공식값조회상태,최종판정단계상태,통계표후보수,근거좌표수,공식값수,공식근거수,최종경로,최종판정,최종사유,최종실패단계,엄격공식판정완료,공식근거URL,공식응답해시
A00672_9,RULE_DISCOVERY,작년 수입액은 1조3600억원어치 정도다.,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,CURRENCY,1360000000000.0,원,2024,년,,,{},"[""수입액""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A00709_11,RULE_DISCOVERY,◇15년 뒤 생산연령인구 3000만명 아래로 하지만 올해부터는 90년대 초반생들도 이미 30세를 넘어 대부분 노동시장에 진출한 상태다.,KOSIS_METADATA_UNAVAILABLE,총인구,PERSON,30000000.0,명,2025,년,,,{},"[""총인구""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A00736_7,FINAL_BLIND,,AS_OF_UNAVAILABLE,출생아 수,PERSON,700000.0,명,2024,년,,,{},"[""출생아 수""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=00&objL2=10,8b108c178cc52a5182d9c572527f7727086fc0df8d9128ad021c30906237b37a
A00789_2,RULE_DISCOVERY,HMG그룹은 지난 1월 경기 용인시 처인구 역북동 신대지구 도시개발사업 공동주택 용지를 1813억원에 매입했다.,INDICATOR_UNIT_MEASURE_MISMATCH,총인구,PERSON,181300000000.0,원,2025-01,월,경기,,{},"[""총인구"", ""경기""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A00840_14,RULE_DISCOVERY,"생활물가지수는 지난해 10월(1.2%)을 저점으로 꾸준히 오름세를 보이고 있는데, 소비자들이 실제 체감하는 물가 수준이 높아지고 있음을 시사한다.",NO_EVIDENCE_COORDINATE_CANDIDATE,생활물가 상승률,RATE,1.2,%,2024-10,월,,,{},"[""생활물가 상승률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A00872_2,RULE_DISCOVERY,9일 인천시에 따르면 지난달 기준 인천시 주민등록인구는 302만7854명으로 집계됐다.,NO_HARD_GUARD_CANDIDATE,총인구,PERSON,3027854.0,명,2025-02,월,인천,,{},"[""총인구"", ""인천""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A00922_5,RULE_DISCOVERY,청년층 쉬었음 인구가 50만명을 넘어선 것은 2003년 통계 작성 이래 최초다.,NO_HARD_GUARD_CANDIDATE,총인구,PERSON,500000.0,명,2003,년,,청년,"{""연령집단"": [""청년""]}","[""총인구"", ""청년""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A00970_20,INTERMEDIATE_VALIDATION,지난달 ICT 무역 수지는 58억1000만달러 흑자를 기록했다.,NO_EVIDENCE_COORDINATE_CANDIDATE,무역수지,CURRENCY,5810000000.0,달러,2025-02,월,,,{},"[""무역수지""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01037_8,FINAL_BLIND,,LOW_SEMANTIC_SCORE,무역수지,CURRENCY,3500000000.0,달러,2025,년,,,{},"[""무역수지""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,HOLD,HOLD,미도달,미도달,0,1,0,0,HOLD,UNDETERMINED,LOW_SEMANTIC_SCORE,후보 의미 비교,N,,
A01149_18,RULE_DISCOVERY,지난해 대미수출액(약 61조3533억원)을 넘어서는 규모다.,NO_HARD_GUARD_CANDIDATE,수출액,CURRENCY,61353300000000.0,원,2024,년,,,"{""교역상대국"": [""미국""]}","[""수출액"", ""미국""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01176_3,FINAL_BLIND,,NO_HARD_GUARD_CANDIDATE,과수원 면적,AREA,1490.0,ha,2025-03,월,경북 | 안동시 | 의성군 | 청송군 | 영양군,,{},"[""과수원 면적"", ""경북 | 안동시 | 의성군 | 청송군 | 영양군""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01185_23,RULE_DISCOVERY,"올해 1월 기준 광공업생산지수(상승)와 취업지수(회복)를 제외한 8개 지표(서비스업생산지수, 소매판매액지수, 설비투자지수, 건설기성액, 수출액, 수입액, 기업경기실사지수, 소비자기대지수)가 하강 국면에 분포했다.",INDICATOR_UNIT_MEASURE_MISMATCH,광공업생산,QUANTITY,8.0,개,2025,년,경기,,"{""산업"": [""서비스업"", ""광공업""]}","[""광공업생산"", ""서비스업"", ""광공업"", ""경기""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01324_6,INTERMEDIATE_VALIDATION,키움증권의 지난해 국내 주식 위탁 매매 수수료 수입은 총 3697억원이다.,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,CURRENCY,369700000000.0,원,2024,년,전국,,{},"[""수입액"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01385_1,RULE_DISCOVERY,지난해 국내 농가 수가 97만4000가구로 집계됐다.,FETCH_FAILED,농가 수,UNKNOWN,974000.0,가구,2024,년,전국,농가,{},"[""농가 수"", ""농가"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1EA1038&itmId=T00&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=000,103ca3a4a634ec719ca77f859d4bbe80b272458fd21f911f996e8ab0d3dafcb4
A01386_5,FINAL_BLIND,,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,RATE,5.4,%,2024-Q4,분기,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01464_3,FINAL_BLIND,,INDICATOR_UNIT_MEASURE_MISMATCH,총인구,PERSON,19370.0,건,2025-02,월,,,{},"[""총인구""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01480_17,INTERMEDIATE_VALIDATION,순수출 성장 기여도는 올해 1분기 0.3%포인트로 집계됐다.,NO_EVIDENCE_COORDINATE_CANDIDATE,순수출 성장 기여도,CONTRIBUTION,0.3,%p,2025-Q1,분기,,,{},"[""순수출 성장 기여도""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01539_16,RULE_DISCOVERY,3만달러를 넘은 2014년쯤에는 자동차·화학·정유(차화정)가 반도체와 함께 수출을 쌍끌이했다.,NO_HARD_GUARD_CANDIDATE,수출액,CURRENCY,30000.0,달러,2014,년,,,"{""품목"": [""반도체"", ""자동차""]}","[""수출액"", ""반도체"", ""자동차""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01641_18,RULE_DISCOVERY,지난해 기업들이 낸 법인세 수입(62조5000억원)과 맞먹는 수준이다.,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,CURRENCY,62500000000000.0,원,2024,년,,,{},"[""수입액""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01693_1,RULE_DISCOVERY,올해 1분기(1~3월) 성장률이 -0.2%로 뒷걸음질 쳤던 우리 경제가 세계 주요국 중 1분기에 성장이 가장 더뎠던 것으로 나타났다.,KOSIS_METADATA_UNAVAILABLE,경제성장률,RATE,0.2,%,2025-Q1,분기,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01708_16,FINAL_BLIND,,KOSIS_METADATA_UNAVAILABLE,무역수지,CURRENCY,1120000000.0,달러,2025-04-01/2025-04-10,월,,,{},"[""무역수지""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01723_2,RULE_DISCOVERY,"2000년대 후반 잠재성장률이 4% 수준이었음을 고려하면, 20년 만에 반 토막 난 것이다.",KOSIS_METADATA_UNAVAILABLE,경제성장률,RATE,4.0,%,2000,년,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01723_6,RULE_DISCOVERY,한국의 잠재성장률은 2007년까지만 해도 4.27%에 달했다.,LOW_SEMANTIC_SCORE,경제성장률,RATE,4.27,%,2007,년,전국,,{},"[""경제성장률"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,HOLD,HOLD,미도달,미도달,0,1,0,0,HOLD,UNDETERMINED,LOW_SEMANTIC_SCORE,후보 의미 비교,N,,
A01752_5,RULE_DISCOVERY,60세 이상 취업자가 많은 보건·사회복지 분야를 중심으로 취업자가 늘면서 올해 1월부터 넉 달째 취업자 증가 폭이 10만명대를 유지했다.,AS_OF_UNAVAILABLE,취업자 수,PERSON,100000.0,명,2025,년,,,{},"[""취업자 수""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=0,567fc949b666ed562319e0547a45efd088f6ae743c25704f4361c02e722ebf4a
A01762_4,RULE_DISCOVERY,한국의 1인당 GDP(국내총생산)는 지난해 기준 4926만원이다.,NO_EVIDENCE_COORDINATE_CANDIDATE,1인당 GDP,CURRENCY,49260000.0,원,2024,년,전국,,{},"[""1인당 GDP"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01798_35,RULE_DISCOVERY,"올해 1~4월 우리나라는 스페인에 오징어를 2180톤 수출했는데, 작년 같은 기간에는 스페인에 수출한 오징어가 한 마리도 없었다.",NO_HARD_GUARD_CANDIDATE,오징어 수출량,QUANTITY,2180.0,톤,2025-01/2025-04,누계,전국,,{},"[""오징어 수출량"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A01894_4,RULE_DISCOVERY,저출산고령사회위원회에 따르면 2023년 기준 국내 치매 인구는 124만명이다.,NO_EVIDENCE_COORDINATE_CANDIDATE,총인구,PERSON,1240000.0,명,2023,년,전국,,{},"[""총인구"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A01927_15,INTERMEDIATE_VALIDATION,이들보다 5년 정도 빠른 1980년대 후반이나 5년 늦은 1990년대 후반에는 연간 출생아 수가 각각 60만명대에 머물렀다.,PUBLICATION_FETCH_FAILED,출생아 수,PERSON,600000.0,명,2025,년,,,{},"[""출생아 수""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=00&objL2=10,e92cb913d789bc40b97daa9ef19c5e73b3ed4ba5e7fde26be550f9a3bcd1f7c9
A01927_17,INTERMEDIATE_VALIDATION,"홍석철 서울대 경제학부 교수는 “통상 신혼 부부들이 결혼 후 3년간 아이를 많이 낳는다는 점을 고려하면, 올해는 계속 출생아가 늘어나면서 연간 합계출산율이 무난히 0.8명을 넘길 수 있을 것”이라고 했다.",KOSIS_METADATA_UNAVAILABLE,출생아 수,PERSON,0.8,명,2025,년,서울,,{},"[""출생아 수"", ""서울""]",PRE_VERIFICATION,NON_OBSERVED_FORECAST,0,미도달,미도달,미도달,미도달,미도달,미도달,미도달,미도달,0,0,0,0,PRE_VERIFICATION,,NON_OBSERVED_FORECAST,사전 구조화,N,,
A01953_8,RULE_DISCOVERY,이는 한국제약바이오협회가 집계한 지난해 기술 수출액(61억3300만달러)을 이미 넘어선 것이다.,NO_HARD_GUARD_CANDIDATE,수출액,CURRENCY,6133000000.0,달러,2024,년,전국,,"{""품목"": [""바이오""]}","[""수출액"", ""바이오"", ""전국""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A02022_15,INTERMEDIATE_VALIDATION,노동투입이 잠재성장률에 기여하는 정도도 2000년대 초반과 비슷한 30% 수준으로 낮아졌다.,KOSIS_METADATA_UNAVAILABLE,경제성장률,RATE,30.0,%,2000,년,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A02179_7,RULE_DISCOVERY,특히 아랍에미리트는 2031년까지 GDP의 40%를 AI 산업에서 창출하겠다고 한다.,INDICATOR_MEASURE_FAMILY_AMBIGUOUS,경제성장률,RATE,40.0,%,2031,년,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A02253_15,FINAL_BLIND,,NO_HARD_GUARD_CANDIDATE,경제성장률,RATE,9.7,%,2025-Q1,분기,아일랜드,,{},"[""경제성장률"", ""아일랜드""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A02254_17,FINAL_BLIND,,FETCH_FAILED,경제성장률,RATE,16.0,%,2024,년,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,PUBLICATION_FETCH_FAILED,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1YL20571&itmId=T10&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=00,e09b5826b4864f78e4a54f693ba8fac868eb8270b2076ce3bf35ec015b7c6e98
A02385_22,RULE_DISCOVERY,"이재명 대통령이 취임 닷새 만인 지난달 9일 “라면 한 개에 2000원도 한다는데, 진짜냐”며 요주의 품목으로 라면을 콕 짚어 언급했지만, 라면을 포함한 가공식품 물가는 고공 행진하고 있다.",INDICATOR_UNIT_MEASURE_MISMATCH,물가상승률,RATE,2000.0,원,2025-06,월,,,{},"[""물가상승률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A02385_32,RULE_DISCOVERY,라면에 계란을 풀어 파는 외식 라면 물가도 지난달 4%나 뛰었다.,NO_HARD_GUARD_CANDIDATE,물가상승률,RATE,4.0,%,2025-06,월,,,"{""품목"": [""계란""]}","[""물가상승률"", ""계란""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A02395_19,INTERMEDIATE_VALIDATION,2005년 인구조사에서는 남북 이산가족 유무를 물었는데 총 71만5968명의 국민이 “북한에 가족이나 친인척이 있다”고 답했다.,KOSIS_METADATA_UNAVAILABLE,총인구,PERSON,715968.0,명,2005,년,,,{},"[""총인구""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A02631_3,INTERMEDIATE_VALIDATION,"보고서는 2019∼2024년 국가데이터처 소비자물가지수 분류 항목 중 의식주와 관련 있고 상승률이 높은 15개 항목(식료품, 수도 및 주거 관련 서비스, 음식 서비스 등)을 중점적으로 분석했다.",INDICATOR_UNIT_MEASURE_MISMATCH,소비자물가지수,INDEX,15.0,개,2024,년,,,{},"[""소비자물가지수""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,N,,
A02656_28,RULE_DISCOVERY,이는 지난해 1인 가구 최저생계비(133만원)에 못 미치는 수준이다.,INDICATOR_UNIT_MEASURE_MISMATCH,1인 가구 수,CURRENCY,1330000.0,원,2024,년,,1인 가구,{},"[""1인 가구 수"", ""1인 가구""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A02700_19,RULE_DISCOVERY,코로나 시기였던 2020년 인구주택총조사의 최종 응답률은 96.3%였다.,NO_EVIDENCE_COORDINATE_CANDIDATE,인구주택총조사 최종 응답률,RATE,96.3,%,2020,년,,,{},"[""인구주택총조사 최종 응답률""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
